text,label
What animal was the heat-seeking missile called the Sidewinder named for ?,2
What animal do buffalo wings come from ?,2
What does a polyorchid man have at least three of ?,14
What animals do you find in the stock market ?,2
How much electricity does the brain need to work ?,13
What country boasts the southernmost point in continental Europe ?,18
How does food color affect how you think it will taste ?,0
What does a man suffering from diphallic terata have ?,23
What is the Socratic method ?,7
What man-made waterways is 1.76 miles long ?,14
How do you build a solar car for a high school experiment ?,0
What percent liked Thatcher after she had been in power for a decade ?,38
What is the principal river of Ireland ?,14
"What President 's favorite Biblical quotation was : `` Come now , and let us reason together '' .",4
"What English playwright penned : `` Where the bee sucks , so shall I '' ?",4
What developed a crack in 1835 while tolling the death of U.S. Chief Justice John Marshall ?,14
What company sells the most greeting cards ?,5
What are the three most successful companies of our time ?,5
How can your school march in the Macy 's Thanksgiving Parade ?,0
What is the fastest fish in the world ?,2
What 's a `` Drinker respirator '' better known as ?,20
What is the difference between a bottle and a jar ?,12
What condiment do the Dutch dip their French fries in ?,17
What was the first TV set to include a remote control ?,14
What are the developmental stages of a swimmer ?,14
Name the two mystical ravens Odin has at his command .,2
What is Dick Clark 's birthday ?,8
What 1953 film won Frank Sinatra a best supporting actor Oscar ?,1
What title did Shevardnadze have during the Soviet era ?,6
Who wrote The Look of Love after viewing Ursula Andress ?,4
When was Christ born ?,8
What New Hampshire hamlet rises early to vote first in U.S. presidential elections ?,21
What month did the Edmund Fitzgerald sink ?,8
Who died 1 feet from where John F. Kennedy did ?,4
What is the approximate weight of a teaspoon of matter in a black hole ?,45
"What radio , TV and movie character did Jackie Gleason and William Bendix play ?",4
How do I find if my relatives were on the Trail of Tears ?,0
What 's the international radio code word for the letter B ?,36
What is a gas release event ?,7
"What was organized as a Confederate veterans ' social club in Pulaski , in Tennessee , in 1866 ?",10
How many fiddlers did Old King Cole have ?,13
What is a fear of speaking ?,23
What is a fear of being dirty ?,23
The Iraqis launched their attack on Kuwait on what day ?,8
What is the zodiac sign for August 14 ?,42
What is the abbreviation of the company name ` General Motors ' ?,34
Who are cartoondom 's Super Six ?,5
How much do drugs to treat tuberculosis cost ?,25
How do birds have sex ?,0
How much folic acid should a pregnant woman get each day ?,13
"When did Aldous Huxley write , `` Brave New World '' ?",8
What was an `` Asiento '' ?,7
Who said : `` Old soldiers never die ; they just fade away '' ?,4
Why are there no white lines on pro footballs ?,9
What is humidity ?,7
How many airline schools are there in the U.S. ?,13
What 's the colored part of the eye called ?,22
How many shillings more than 2 were there in a guinea ?,13
What D.H. Lawrence novel was originally titled Tenderness ?,1
What was another name for East Germany ?,20
How many logarithmic scales are there on a slide rule ?,13
What is the correct way to use `` may '' vs. `` might '' ?,31
How is carbon dioxide removed from natural gas ?,0
Who held the endurance record for women pilots in 1929 ?,4
Name the French historical period during the reign of Napoleon III .,10
What was the name of the 1899 policy forced on China by which all nations had equal trading rights ?,14
What Aesop 's fable has the moral : `` The race is not always to the swift. Slow and steady is bound to win '' ?,1
"What is the latitude and longitude of El Paso , Texas ?",14
What was the nationality of Jackson Pollock ?,18
How many times has Harold Stassen announced a drive for the White House ?,13
How do you do a topic outline ?,0
What animal has the biggest eyes ?,2
What is a geoscientist ?,7
What city was President William McKinley shot in ?,21
What is a cake of soap ?,7
Where did the real St. Nicholas live ?,14
What is the origin of the word ` posh ' ?,12
What is the first personal computer company ?,5
What kind of company is 7-Eleven ?,5
Where did the Japanese Imperial Forces surrender to end WWII ?,14
When did Iraqi troops invade Kuwait ?,8
Who was the king who signed the Magna Carta ?,4
What are Fortune 500 companies ?,7
What are shooting stars ?,7
What two vessels fought the first sea battle between iron-covered ships ?,44
What is the largest city in Germany ?,21
"What Boris Pasternak book sold 5 , 0 copies to become the fiction best-seller of 1958 ?",1
Why do pressure cookers save time in the kitchen ?,9
What four tournaments make up tennis ' Grand Slam ?,29
What is LMDS ?,3
What is the greatest source of `` white '' magic in the Marvel Universe ?,14
Who invented panties ?,4
What does gringo mean ?,7
What is a wop ?,7
What is 55 times sweeter than cane sugar ?,17
What Don McLean song laments the day Buddy Holly died ?,1
Which sex is denied voting rights in Kuwait ?,14
Who was the second man to walk on the moon ?,4
What historical event happened in Dogtown in 1899 ?,10
What season does a hiemal activity normally take place in ?,8
Where did cable cars first roll down Clay Street in 1873 ?,14
What car was driven in the 199 release of `` Smokey and the Bandit '' ?,26
What does the six-footed Musca domestica become when it enters a house ?,14
How many people in the world speak French ?,13
What turns blue litmus paper red ?,14
What is a Certified Nurse Midwife ?,7
Where is the group M People from ?,14
The second most popular sport worldwide is what ?,29
What does each of the utilities cost in Monopoly ?,25
Name the person who burst through the screen in the Lite beer commercials .,4
What card game can feature dealer 's choice ?,29
What is the name of the Family Circus 's dog ?,2
What series of trials followed World War II ?,10
When did humans first begin to write history seriously ?,8
How many e-commerce companies are started every day ?,13
Who was the first woman in space ?,4
"In South Korea , how many American Soldiers are there ?",13
What is the capital of Seattle ?,21
What is false consciousness ?,7
What is the softest part of the body ?,22
Who directed Citizen Kane ?,4
What cigarette is `` a whole new world '' ?,14
What was the name of the first Russian astronaut to do a spacewalk ?,4
Where can I read about Chiang Kai-shek ?,14
What president 's ghost is said to haunt the White House ?,4
How far is London UK from California ?,40
Who turned all he touched to gold ?,4
What beer is ` rockin ' America ? '',17
How can I look up someone 's E-mail address on the Internet ?,0
What information can you tell me about actor James Cromwell ?,12
What is the longest word in the English language ?,36
What does Warner Bros. call a flightless cuckoo ?,20
How do plants make food ?,0
Why did David Koresh ask the FBI for a word processor ?,9
What is Britain 's possession on the Chinese mainland ?,14
Hazmat stands for what ?,7
What is a fear of weakness ?,23
What percent of world 's fresh water is found in Canada ?,38
What does Tiffany mean ?,7
What does Inuit and Eskimo mean ?,7
What is the chemical formula for napalm ?,42
What level of government or governmental agency is responsible for dealing with racism ?,5
Who directed the first Woody Woodpecker cartoon ?,4
What President-to-be was the first member of Congress to enlist following the attack on Pearl Harbor ?,4
Who was William Henry Harrison ?,12
What musical instrument did Prewitt play in James Jones 's From Here to Eternity ?,33
What is Li 'l Abner 's last name ?,4
What is the frequency of VHF ?,14
Where is the location of the Orange Bowl ?,14
Where is Amsterdam ?,14
Which Bourbon king was restored to the French throne during Napoleon 's abdication ?,4
Which infectious disease kills the most people worldwide ?,23
How long do flies live ?,27
What is the average hourly rate of American workers ?,14
What are Britain 's two longest rivers ?,14
What is the horsepower of the shuttle boosters ?,14
What killed Bob Marley ?,14
Name a tiger that is extinct .,2
What is the average cost for four years of medical school ?,25
What 's the nickname of oddsmaker Jimmy Snyder ?,4
"Where is it planned to berth the merchant ship , Lane Victory , which Merchant Marine veterans are converting into a floating museum ?",14
How do you handle a hungry man ?,0
What nationality is Pope John Paul II ?,18
What is the origin of blue for boys and pink for girls ?,12
What is a fear of black people ?,23
What gaming devices were dubbed `` Mississippi marbles '' and `` Memphis dominoes '' ?,14
What were popular songs and types of songs in the 1920s ?,1
What is the formula to calculate pi ?,31
What New York City landmark has 168 steps to its crown ?,14
In what book can I find the story of Aladdin ?,1
What does the abbreviation IOC stand for ?,3
What Jules Verne novel features scientists held captive in the submarine Nautilus ?,1
What does the E stand for in the equation E=mc2 ?,3
What is the world 's deadliest infectious disease ?,23
Why do men snore ?,9
How many letters appear with the numbers 2 to 9 on a telephone dial ?,13
What ocean was Amelia Earhart flying over when she disappeared ?,14
How many verses are in the Bible ?,13
Which king signed the Magna Carta ?,4
What is a drought ?,7
How tall is the giraffe ?,40
What are the chances of pregnacy if the penis does not penetrate the vagina ?,38
How do I e-mail someone at aol.com from yahoo.com ?,0
What English explorer discovered and named Virginia ?,4
Why do horseshoes bring luck ?,9
How is the element strontium purified ?,0
What is the spectrum of a sine wave ?,7
What was the eighth day following the Nones in each month of the Roman calendar called ?,20
What is the difference between a college and a university ?,12
Where can I find detailed information about Manchukuo ?,14
What U.S. Air Force general led the first bombing raid over Tokyo ?,4
How many URL extensions are there ? and what are they ?,13
What is Michael Jackson 's father 's name ?,4
What are the chemicals used in glowsticks ?,28
What country is Mount Everest in ?,18
What city has a newspaper called The Plain Dealer ?,21
How long has L.L. Cool J. been married ?,27
"What John Steinbeck novel portrays the Joad family , driven from the Oklahoma dustbowl ?",1
What is the current unemployment rate in the U.S. ?,38
What is a fear of money ?,23
"Who sent the brief message `` I came , I saw , I conquered '' ?",4
What soft drink held a national flavor poll in 1967 ?,17
Who is the Greek God of the Sea ?,4
Who played the title role in The Romantic Englishwoman ?,4
What occupation has the highest divorce rate ?,6
How much waste does an average dairy cow produce in a day ?,13
What was the first ready-to-eat breakfast cereal ?,17
What was the name of Randy Steven Craft 's lawyer ?,4
What war saw a naval battle between the luxury liners Cap Trafalgar and the Carmania ?,10
What does Las Vegas mean ?,7
"What does caliente mean , in English ?",7
"What is the real name of the singer , Madonna ?",4
What well-known music personality is the father of an adopted son named Hans Christian Henderson ?,4
Who is the director of intergovernmental affairs for the San Diego county ?,4
How can I easily remove red wine stains from t-shirts ?,0
What is the definition of ` graphic details ' ?,7
How many calories are there in a Big Mac ?,13
Who shoplifts ?,4
Name an American made motorcycle .,44
"What are the factors leading to the high teen pregnancy rate in Spartanburg , South Carolina ?",9
What six-foot temperance advocate wielded her hatchet on saloons ?,4
What war saw battles at Parrot 's Beak and Black Virgin ?,10
Who portrayed Maggio in the film From Here to Eternity ?,4
Where does `` bovine '' come from ?,12
What is hyperopia ?,7
What was the name of the sitcom that Alyssa Milano starred in with Tony Danza ?,1
"What do the number 1 , 2 , and 4 mean on Dr. Pepper bottles ?",7
How do birds find their way back to the same place every year ?,0
How does a submarine operate ?,0
How much did a knight 's armor weigh ?,45
What happens to used motor oil ?,12
What are the Low Countries ?,7
What is the largest and most expensive freeway construction project in the U.S. right now ?,14
What is a fear of thunder ?,23
What do penguins eat ?,17
What 's the Hungarian word for pepper ?,36
What is a fear of being alone ?,23
What is the origin of the term `` buffalo wings '' that is used as a menu item in bars across the nation for chicken wings in a spicey sauce ?,12
How many rows of whiskers does a cat have ?,13
How many grooves are on a dime ?,13
Who was actress June Havoc 's legendary sister ?,4
What musical instrument did Sherlock Holmes play ?,33
When did Jaco Pastorius die ?,8
What was the first minimum wage ?,25
What Mexican leader was shot dead in 1923 ?,4
What was Einstein 's IQ ?,14
Who penned : `` Neither a borrower nor a lender be '' ?,4
What drug did Sigmund Freud become fascinated with while experimenting with the treatment of neurasthenia ?,23
Which of the five senses develops first ?,14
How many times can a nickel-cadmium rechargeable battery be recharged ?,13
What American naval officer broke Japan 's isolationist policy in 1853 ?,4
What is a golf ball made of ?,28
How do you buy stocks ?,0
Name the highest mountain .,24
What 's the slowest Olympic swimming stroke ?,31
What is power steering ?,7
What are the titles of some R-Rated Sony Playstation games ?,29
Who said `` the only thing we have to fear is fear itself '' ?,4
On what river is Strasbourg built ?,14
What kind of meat is Fray Bentos synonymous with ?,17
How do you find the area of a circle ?,0
How many times a year does the American Gourd Society publish The Gourd ?,13
"What month , date , and year did Charles I die ?",8
What does N est-ce pas mean ?,7
What prompted the co-pilot of the Enola Gay to enter only `` My God '' in his log ?,9
What natural attractions draw the most visitors in the United States ?,14
Who was the last U.S. president to reinstate Selective Service registration ?,4
What was lost and regained by poet John Milton ?,14
What were the trials called which followed World War II ?,10
Which produces the longer sperm - an elephant or a mouse ?,2
What did John F. Kennedy consider his greatest blunder in office ?,12
What are the five most popular Usenet groups ?,5
Who is the nebbish that is Marvel 's official mascot ?,4
Where are the busiest ports in the world ?,14
Where do you find information about the Queensland National Competition Policy,14
Where did Victor Hugo spend his exile ?,14
Who established a Viking colony in Greenland about 985 ?,4
What carries sperm up into the pelvic region ?,22
What wild and crazy guy wrote a book called Cruel Shoes ?,4
What pillar of the Dutch Renaissance painted Aristotle Contemplating the Bust of Homer ?,4
What organization did Mr. Waverly assign agents for ?,5
How can I find out which cities have cable-modem access ?,0
"What soft drink first appeared in the Old Corner Drug Store in Waco , Texas , in 1885 ?",17
"What actor and World War II airman had a $5 , 0 bounty put on his head by Hermann Goering ?",4
What is the world 's largest distilling company ?,5
What is the origin of the word trigonometry ?,12
How do anti-locking brakes work ?,0
What is barnstorming ?,7
What is the origin of gametophytic tissue ?,12
What Hermann Hesse book gave its name to a rock group ?,1
What is the name of a language spoken by the Sioux ?,37
What was the top box office movie in April 1998 ?,1
What kind of car did Janis Joplin ask the Lord to buy her ?,26
Where did George of the Jungle live ?,14
What is the tallest building in Japan ?,14
What is the longest English word ?,36
How far is it from Phoenix to Blythe ?,40
What song put James Taylor in the limelight ?,1
What is the Internet2 ?,7
What political party is Sinn Fein a part of ?,5
What was the 1940 annual salary for a boilermaker ?,25
Which team won the Super Bowl in 1968 ?,5
Name the blind sculptress in love with the Fantastic Four 's Thing .,4
What 's the first day of the week ?,8
What is the history of yo-yos ?,12
Who is the famous sister of actress Olivia De Havilland ?,4
What is tumbled marble ?,7
"What is the main language of Sao Paulo , Brazil ?",37
Who led the Normans to victory in the Battle of Hastings ?,4
What is June 's birthstone ?,7
What is the population of Ohio ?,14
What is the former name of Zimbabwe ?,20
What five cards make up a perfect Cribbage hand ?,14
What company tabulates the ballots in voting for the Academy Awards ?,5
In what ways did Ivan IV support Russian expansion ?,31
Who is actress Goldie Hawn 's current actor boyfriend ?,4
What king boycotted Prince Charles 's wedding ?,4
What are the two largest birds on earth ?,2
"What is the history of Spartacus , the Roman slave and gladiator ?",12
What is the fastest growing state in the U.S.A. in 1998 ?,11
What type of childhood did Jules Verne have ?,12
What city is Logan Airport in ?,21
Who was the only person convicted in the My Lai Massacre ?,4
What 's a perfect score in a gymnastics exercise ?,14
Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?,14
How do I know how much money to save for retirement ?,0
What does the word `` meta '' mean ?,7
What is a biologist ?,7
Who was the girl in Peter Sellers 's soup ?,4
Where was George Washington born ?,14
Who thought he 'd never see a poem lovely as a tree ?,4
What color flies closest to the staff on Belgium 's flag ?,19
What operating system do IBM-compatible machines use ?,26
How many inches over six feet is the Venus de Milo ?,13
"What is the most important nation in the world , historically ?",18
What European country 's monarchy was restored in 1975 ?,18
How many South American countries have the letter Z in their names ?,13
Why do some people have two different color eyes ?,9
What color is Chablis ?,19
What does a spermologer collect ?,14
How many Leos have been Pope ?,13
How many thousands of students attend the University of Massachusetts ?,13
What scale measures earthquakes ?,14
What Tokyo street glitters with famed department stores and nightclubs ?,14
What presidential press secretary dismissed Watergate as a third-rate burglary attempt ?,4
How big is a baby bald eagle ?,32
How do you make a computer chip ?,0
Which member of the Micronauts spent 1 years traveling the Microverse in the Marvel comics ?,4
How many Beatles ' records went #1 ?,13
How many meters are in a mile ?,13
The corpus callosum is in what part of the body ?,22
How many dollars a day did Arthur Frommer say you could get by on in Europe in 1968 ?,13
What was the first town to be chartered in Vermont ?,21
What does the abbreviation AIDS stand for ?,3
How do you get silly putty out of fabric ?,0
How many states have a lottery ?,13
What is the origin of the name Katie ?,12
What software offers inventors use of CAD-like design ?,1
What 's the name of the Tokyo Stock Exchange ?,20
What comedian was The Perfect Fool ?,4
What are some children 's rights ?,12
What is a caul ?,7
What does the Georgetown `` Hoya '' mean ?,7
"What are Kythnos , Siphnos , Seriphos and Mykonos ?",7
Who was Secretary of State during the Nixon administration ?,4
What plant is rum made from ?,30
What U.S. state is Dixville Notch in ?,11
What was the name of the flight that Fawaz Younis hijacked ?,44
What is the full classification of a lady bug ?,2
What actor learned to play the saxophone and speak Russian for a role in a movie ?,4
What are bear and bull markets ?,7
What city is sometimes called Gotham ?,21
What Batman character tools around on a Batcycle ?,4
What one of the Backstreet Boys are single ?,4
How do I register a trade name in North Carolina ?,0
How many bends are there in a standard paper clip ?,13
What was Mark Johnson referring to when he said : `` I still can 't believe it- we beat the Russians ? '',20
What did Mighty Mouse always sing as he went into action ?,12
What 's the rathaus in Frankfurt ?,7
"What country , after Canada and Mexico , is closest to the U.S. ?",18
Where did guinea pigs originate ?,14
What `` magic '' does Mandrake employ ?,14
What city gained renown for its pea-soup fogs ?,21
What is the seafaring name for the southern tip of South America ?,14
Who used to make cars with rotary engines ?,5
What international organization was founded by Clara Barton ?,5
What state capital comes last alphabetically ?,21
What sports event is Meyer Wolfsheim supposed to have fixed in The Great Gatsby ?,29
In what year did China and the Republic of Korea establish diplomatic relations ?,8
How many soldiers were involved in the last Panama invasion by the United States of America ?,13
How many trees go into paper making in a year ?,13
What was the first video ever made ?,1
Where does most of the marijuana entering the United States come from ?,14
How did names come about ?,0
When was the women 's suffrage amendment ratified ?,8
What happens when a body part falls asleep ?,12
What is AFS ?,3
What are the powers and weaknesses of Green Lantern 's ring ?,12
"What TV series featured Neal , a martini-drinking St. Bernard ?",1
What Italian leader had a lifelong fear of the evil eye ?,4
What `` marvelous '' major-league baseball player is now a spokesman for a beer company ?,4
How many John Deere tractors have been manufactured ?,13
What is osmosis ?,7
What was the longest war in U.S. history ?,10
How many years make up a lustrum ?,13
What title does comedian Henry Youngman claim ?,6
What is thalassemia ?,7
Who followed Caesar ?,4
Who was the first black woman to star in the Folies Bergeres ?,4
What sprawling U.S. state boasts the most airports ?,11
Who is the mathematician that won the Noble Prize for Literature in 1950 ?,4
What is the Home Rule Act ?,7
What does Salk vaccine prevent ?,23
When did Thatcher become prime minister ?,8
What is the most efficient way to start a barbeque ?,31
What does the Statue of Liberty wear on her feet ?,14
How many cherubs are there on a Trivial Pursuit board ?,13
What is the best distance education university or college ?,5
Who accompanied Space Ghost on his missions ?,4
What professional sports league originated the college draft ?,5
Where 's the 19th hole on a golf course ?,14
How many colors are there in a rainbow ?,13
What was the tragedy that struck the city of Dogtown in 1899 ?,10
What 19th-century writer had a country estate on the Hudson dubbed Sunnyside ?,4
What is the origin of the peace symbol ?,12
What is a fear of pregnancy ?,23
What character narrates Treasure Island ?,4
What North American city boasts the biggest Polish population ?,21
How many people did the United Nations commit to help restore order and distribute humanitarian relief in Somalia in September 1992 ?,13
Who gave us the `` Rolling Writer '' ?,4
How big is a normal size penis for a 15-year-old ?,32
"What is p.m. an abbreviation for , as in 5 p.m. ?",3
Who was the first person to study the stars ?,4
How does lightning travel ?,0
Who created the monster in Mary Shelley 's novel Frankenstein ?,4
What is The Gay Science ?,7
How many referees work a soccer game ?,13
Where is the Kentucky Horse Park ?,14
How many people in America snore ?,13
What sign is The Water Carrier the zodiacal symbol for ?,42
Who is the current prime minister and president of Russia ?,4
How is saline used in medicine ?,0
How can I transport files from one computer to another ?,0
Who liberated 19th century Sicily and Naples ?,4
Where is the bridge over the river Kwai ?,14
What was the backup singing group for Roy Rogers ?,5
What is the deepest area of the Arctic Ocean ?,14
What are common methods used to regulate monopolies ?,31
What European country is home to the beer-producing city of Budweis ?,18
What were the causes of the Civil War ?,9
What debts did Qintex group leave ?,25
Who painted Mother and Child ?,4
What are the world 's four oceans ?,14
What are the side effects of mevacor ?,12
What seven digits follow the area code in the number for long distance information ?,39
On which flight did Fawaz Younis commit air piracy and hostage taking ?,44
What was the name of Hitler 's unsuccessful attempt to overthrow the Bavarian government in Munich in 1923 ?,10
What line of luggage is named after a famous American flier ?,14
When was the Bill of Rights ratified ?,8
What is the Motto for the State of Maryland ?,12
How do telephones work ?,0
In what medium is Stuart Hamblen considered to be the first singing cowboy ?,1
The name of the actor who played the detective in the film Kindergarden Cop is what ?,4
What is the chemical reactivity of helium ?,14
What is the longest-running television series ?,1
On what day were John F and Jackie Kennedy married ?,8
What airport is on the Piccadilly subway line ?,14
Who portrayed W.C. Fields in the film W.C. Fields and Me ?,4
What do West Indian steel bands use as instruments ?,33
How many muscles does the average adult use when going for a walk ?,13
When was Babe Ruth born ?,8
In what part of the world is Mozambique ?,14
Who is the French literary charcter who is chiefly famous for his enormous nose ?,4
Where can I take a test that will tell me what I should be when I grow up ?,14
What does RCA stand for ?,3
What does the policeman become in the Canadian edition of Monopoly ?,14
What U.S. state has the second-longest coastline ?,11
What is home banking ?,7
How does marijuana lead to other drugs ?,0
What was Al Capone 's nickname ?,4
What does e=mc2 mean ?,7
What is the best-selling television soundtrack of all time ?,1
How many people was Randy Craft convicted of murdering ?,13
Who is the prime minister of Japan ?,4
What 's the common name for acetylsalicylic acid ?,20
What city has the world 's longest subway system ?,21
What is the origin of Boxing Day ?,12
What author did photographer Yousuf Karsh call `` the shiest man I ever met '' ?,4
Who portrayed Vincent Van Gogh in Lust for Life ?,4
What 's the green variety of beryl called ?,20
What is the name of the brilliant British economist behind its creation ?,4
"Where was helium first discovered , hence its name ?",14
What is the electronic device used to produce visual displays corresponding to electric signals ?,14
What function does homeostasis have on the existence of an organism ?,9
What was the first domesticated bird ?,2
When was the first American encyclopedia published ?,8
Who was the first American in space ?,4
"What 's the maximum length , in inches , of a first baseman 's glove ?",13
Where did surfing originate ?,14
How do I get a complete list of all the people that are living with the last name Kilvington ?,0
How did Jayne Mansfield die ?,0
What is Spumante ?,7
What is the weight of air ?,45
How do you find oxidation numbers ?,0
How do you make dumplings ?,0
What is the history of Valentine 's Day cards ?,12
What is the name for clouds that produce rain ?,20
What award is the `` Oscar '' of advertising ?,14
What is Jimmy Olsen 's full name ?,4
Who was chairman of the Senate select committee that tried to get to the bottom of Watergate ?,4
What is the Jewish bible called ?,1
What happened to Pepsi Clear ?,12
Who owns the St. Louis Rams ?,4
What is the origin of the term soda jerk ?,12
What 's the second-lightest element ?,28
Describe the Finnish music personality Salonen 's appearance .,12
Who played Maria in the film West Side Story ?,4
What is Nathan Hamill 's role in the new Star Wars prequel ?,4
What is a fear of going to bed ?,23
What Louisiana Senator won a seat that had been held by his father and mother ?,4
When was the Triangle Shirtwaist fire ?,8
How can anyone tell if a female had sexual intercourse ?,0
How you can raise your IQ ?,0
"Who does Shakespeare 's Antonio borrow 3 , 0 ducats from ?",4
Who is Samuel F. Pickering ?,12
What comedienne upstaged Dwight D. Eisenhower 's first inauguration by giving birth to her first child ?,4
What Catch-22 character is elected mayor of half a dozen Italian cities ?,4
What was the Great Britain population from 1699-172 ?,13
Jackson Pollock is of what nationality ?,18
What makes hamburgers taste like steakburgers ?,9
What are three ways in which wind is created on the earth ?,31
Who is Edmund Kemper ?,12
What does `` antidisestablishmentarianism '' mean ?,7
How is ` qigong ' properly pronounced ?,0
What is the smallest country in Africa ?,18
What country contains the highest point in South America ?,18
