label,content
6, The Golden Ball Tavern is a historic tavern now a museum located at 662 Boston Post Road in Weston Massachusetts. The 2.5 story Georgian style wood frame tavern was built in 1768 by Isaac Jones a local shopkeeper. Despite his Loyalist tendencies which led to an attack on the tavern in 1774 Jones remained in business and the property passed through generations of his family before its conversion to a museum.
8, Slatina nad Ãpou is a village and municipality in NÃ¡chod District in the Hradec KrÃ¡lovÃ© Region of the Czech Republic.
8, InowÅÃ³dz [iËnÉvwutÍ¡s] is a village in TomaszÃ³w Mazowiecki County ÅÃ³dÅº Voivodeship in central Poland. It is the seat of the gmina (administrative district) called Gmina InowÅÃ³dz. It lies approximately 15 kilometres (9 mi) east of TomaszÃ³w Mazowiecki and 60 km (37 mi) south-east of the regional capital ÅÃ³dÅº. The village has a population of 795.
6, Hamlin Garland House is a site associated with the life of author Hamlin Garland in West Salem Wisconsin United States. The street it is on was renamed in honor of the author.It was declared a National Historic Landmark in 1971.
7, The Pelly Mountains are a mountain range in the Yukon Canada. It has an area of 44014 km2 and is a subrange of the Yukon Ranges which in turn form part of the Pacific Coast Ranges.
0, Founded in 2005 F-Origin is a privately held US company with headquarters in Research Triangle Park North Carolina. F-Origin is the developer of zTouchâ¢ a force-based touch technology.
2, Ellis Paul (born Paul Plissey; January 14 1965) is an American singer-songwriter and folk musician. Born in Aroostook County Maine Paul is a key figure in what has become known as the Boston school of songwriting a literate provocative and urbanely romantic folk-pop style that helped ignite the folk revival of the 1990s.
11, With All Due Respect â The Irish Sessions is an album by American rock band Young Dubliners. The album was released on February 13 2007. The album consists of renditions of traditional Irish folk songs and also features covers of songs by Irish bands The Dubliners and The Pogues.
6, The Lake Hotel is one of a series of hotels built to accommodate visitors to Yellowstone National Park in the late 19th and early 20th century. Built originally in 1891 it was re-designed and substantially expanded by Robert Reamer architect of the Old Faithful Inn in 1903.
12, Naan Potta Savaal is a Tamil film is directed by Puratchchi Dasan. In English the title means The challenge I took. The Cowboy style movie did not fare well at the box office and was a failure.
3, Michael Ledwith  was a professional baseball player who played catcher in one game for the 1874 Brooklyn Atlantics.
0, The Avery Company founded by Robert Hanneman Avery was an American farm tractor manufacturer famed for its undermounted engine which resembled a railroad engine more than a conventional farm steam engine. Avery founded the farm implement business after the Civil War. His company built a large line of products including steam engines beginning in 1891. The company started with a return flue design and later adapted the undermount style including a bulldog design on the smokebox door.
9, The Vulturine Parrot (Pyrilia vulturina) not to be confused with Pesquet's Parrot (Psittrichas fulgidus) is a Neotropical parrot which is endemic to humid forest and adjacent habitats in the eastern Amazon of Brazil.
10, Joseanthus chimborazensis is a species of flowering plant in the Asteraceae family.It is found only in Ecuador.Its natural habitat is subtropical or tropical moist montane forests.It is threatened by habitat loss.
13, Local Anaesthetic (German: Ãrtlich betÃ¤ubt ) is a 1969 novel by the West German writer GÃ¼nter Grass. It tells the story of an idealistic high-school teacher who believes society like a pupil is learning from experience and reason. Grass had been deeply moved after learning about the HÃ¼bener Group three teenage Mormons who distributed anti-Nazi material inspired by BBC London radio broadcasts and were arrested by the Gestapo in Hamburg.
4, Jejomar Jojo Cabauatan Binay Sr. (born November 11 1942) is a Filipino politician who has been the 15th Vice President of the Philippines since 2010. Previously he was the longest-serving Mayor of Makati City having been in office from 1986 to 1987 1988 to 1998 and again from 2001 to 2010.Aside from being vice president he is concurrently serving as the Chairman of the Housing Urban Development Coordinating Council and the President of the Boy Scouts of the Philippines.
4, Doi Toshitsura (åäº å©ä½ June 15 1789 â July 31 1848) was a Japanese daimyo of the Edo period who ruled the Koga Domain. He served as a rÅjÅ« in the Tokugawa shogunate.
7, The White River is a 60.1-mile-long (96.7 km) river in the U.S. state of Vermont. It is a tributary of the Connecticut River.The White River rises at Skylight Pond south of Bread Loaf Mountain near the crest of the Green Mountains. The river flows east to the town of Granville where it receives the outflow from the southern portion of Granville Notch. The river turns south and followed by Vermont Route 100 flows through the towns of Hancock and Rochester.
1, Brondesbury College for Boys is a selective independent school for boys situated in Brent London England. It was founded by Dr Yusuf Islam in 1997 to provide an education institution for young Muslim students in the United Kingdom. Since its foundation the school has had a second building extension an AstroTurf football pitch facilities in the fields of science sports teaching assistance and a library. About 125 students enroll every year.
4, Gudrat Gurbanov Ganbar oglu (Azerbaijani: QÃ¼drÉt Qurbanov QÉnbÉr oÄlu) is an Azerbaijani politician who serves as the Chief of State Maritime Administration of Azerbaijan Republic.
5, SMS Arminiusâ was an ironclad warship of the Prussian Navy later the Imperial German Navy. The ship was designed by the British Royal Navy Captain Cowper Coles and built by the Samuda Brothers shipyard in Cubitt Town London as a speculative effort; Prussia purchased the ship during the Second Schleswig War against Denmark though the vessel was not delivered until after the war. The ship was armed with four 21 cm (8.3 in) guns in a pair of revolving gun turrets amidships.
0, Associate Mobile (stylized associatemobile) is a Dublin based mobile web service company that specializes in the development and deployment of cloud-based mobile platforms for enterprise and consumer markets. The company was formed in 2011 by Don Corbett and Brian Shannon.In 2013 Brian Shannon resigned as a director of the company.
3, Mark Cooper (born February 14 1960 in Camden New Jersey) is a former American football guard in the National Football League for the Denver Broncos and the Tampa Bay Buccaneers. He started for the Broncos in Super Bowl XXI. Cooper attended the University of Miami.
11, Life in A Minor Key is musical artist Chris Braide's second studio album.David A. Stewart's label Anxious Records signed Chris Braide in London United Kingdom It was Braideâs second solo album.On the liner notes of the reissued limited edition vinyl David A. Stewarts writes:I met Chris Braide in London when he was only 24 years old yet he was so mature as a songwriter and a consummate musician.
6, The Beulah School on 2nd St. NW in Beulah North Dakota was built in 1920. It has also been known as Beulah High School and as Beulah Middle School. It includes elements of International Style and Prairie School architecture.It is a work of Frederick Walcott Keith and it is a work of Herman Leonhard.It was listed on the National Register of Historic Places (NRHP) in 1997.
10, Pteroceltis tatarinowii is a tree indigenous to China growing to 20 meters in height. It is used for fine timber its bark fiber is used to make Xuan paper and oil is extracted from its seeds.
2, Shannon Renee Magrane (born October 21 1995) is an American singer from Tampa Florida who finished in eleventh place on the eleventh season of American Idol.
10, Horkelia californica (syn: Potentilla californica) known by the common name California horkelia is a species of flowering plant in the rose family. It is endemic to California where it grows on scrubby coastal and inland mountain slopes primarily in the California Coast Ranges and western Sierra Nevada foothills.
6, The R. J. Hill Building is a historic commercial building in the small city of Palacios Texas which is located on the Gulf coast of Texas. The building was built in 1910 out of cast concrete blocks that were manufactured at the site at a time that the town was being promoted as a seaside resort.It is a concrete two story commercial structure with Richardsonian Romanesque elements. In 2009 it was slated for use as a museum by the Palacios Area Historical Association.
7, Lokon-Empung is a volcano on the island of Sulawesi. It is one of the most active in Indonesia. It consists of two volcanic cones the older Lokon and the younger Empung. The active crater of Tompaluan is situated in the saddle between the two cones.
8, Burya (village) is a village in the municipality of Sevlievo in Gabrovo Province in northern central Bulgaria.
4, Dingiri Bandara Welagedera also known as D. B. Welagedera (31 October 1915 - 22 April 1989) was the Minister of Plan Implementation and a former Member of Parliament representing Kurunegala District. Welagedera served as the 1st Governor of North Central Province. He was appointed on May 1988 and was Governor until May 1989. He was succeeded by E. L. Senanayake.
5, The BlÃ©riot 135 (or Bl-135) was a French airliner of the 1920s a development of the BlÃ©riot 115 with more powerful radial engines. One of the two built was actually converted from a 115 while the other was built new. Both saw service with Air Union on their Paris-London route from mid-1924.
6, St. Swithun's Church Thorley is a parish church in the Church of England located in Thorley Isle of Wight.
4, Colin Fraser Steyn (1887â1959) was a lawyer and a politician of Southern Africa Member of the House of Assembly Senator and Cabinet Minister in the government of Jan Smuts.He was born on 27 November 1887 in Bloemfontein in the Orange Free State the son of Marthinus Theunis Steyn who was the President of the Orange Free State from 1896 till 1902. He was named for his grandfather on his mother's side Reverend Colin Fraser.
9, Trabala prasinophena is a moth of the Lasiocampidae family. It is found in Congo.
12, Stardust Memories is a 1980 American comedy-drama film written and directed by Woody Allen and starring Woody Allen Charlotte Rampling Jessica Harper Marie-Christine Barrault and (a then-unknown) Sharon Stone in her film debut. The film is about a filmmaker who recalls his life and his lovesâthe inspirations for his filmsâwhile attending a retrospective of his work. Allen considers this to be one of his best films along with The Purple Rose of Cairo and Match Point.
7, Beacon Reservoir supplies water to the city of the same name in Dutchess County New York USA. It is located at 1285 feet (392 m) above sea level in a hollow between Beacon Mountain and Scofield Ridge in the neighboring Town of Fishkill very close to the Putnam County line. It was created in 1922 by damming Dry Brook a tributary of Fishkill Creek.It holds 125 million US gallons (470000 m3).
5, The first USS Saint Paul (SP-1643) was a cruiser in the United States Navy. She was named for the capital of Minnesota.Saint Paul was launched on 10 April 1895 by William Cramp & Sons Philadelphia Pennsylvania as a steel passenger liner; chartered for United States Navy service as an auxiliary cruiser from her owner International Navigation Company by a board appointed on 12 March 1898; and commissioned on 20 April 1898 for Spanish-American War service Captain Charles D.
4, Adam Martin Wyant (September 15 1869 â January 5 1935) was an American politician who served as Republican member of the U.S. House of Representatives from Pennsylvania. He served six terms a total of 12 years in the House. However Wyant is also best remembered for being the first professional football player to be elected to the United States Congress.
13, Brewster's Millions is a novel written by George Barr McCutcheon in 1902 originally under the pseudonym of Richard Greaves. It was adapted into a play in 1906 which opened at the New Amsterdam Theatre on Broadway and the novel or play has been adapted into films ten times three of which were produced in India.
1, Pendleton Heights High School is a public high school in Pendleton Indiana whose name is commonly abbreviated to PHHS. It is part of the South Madison Community School Corporation and has an enrollment of around 1200 students.
3, Slamet Riyadi is an Indonesian footballer.
13, Canada's History is the official magazine of Canada's National History Society. It is published six times a year and aims to promote interest in and knowledge of Canadian history. Founded in 1920 as The Beaver by the Hudson's Bay Company (HBC) the magazine was acquired by the Society in 1994. Subject matter includes all aspects of Canadian history.
0, For other uses see Auckland Transport (disambiguation).Auckland Transport (AT) is the council-controlled organisation (CCO) of Auckland Council responsible for transport projects and services. It combined the transport functions of the eight former Auckland local authorities and the Auckland Regional Transport Authority (ARTA) from 1 November 2010.
6, The Lewis and Clark Bridge at Wolf Point Montana spans the Missouri River between McCone and Roosevelt counties. It is also known as Wolf Point Bridge Missouri River Bridge or Site No. 24RV438. It was listed on the National Register of Historic Places in 1997.
4, Curtis Hooks Brogden (November 6 1816 â January 5 1901) was the 42nd Governor of the U.S. state of North Carolina from 1874 to 1877. He succeeded to the position after the death of Governor Tod R. Caldwell after having been elected as lieutenant governor representing the Republican Party.
5, The Call-Air Model A is an American two- to three-seat utility aircraft designed by the Call brothers and built by the Call Aircraft Company later developed into a successful line of agricultural aircraft.
12, Special Bulletin is an American made-for-TV movie first broadcast in 1983. It was an early collaboration between director Edward Zwick and writer Marshall Herskovitz a team that would later produce such series as thirtysomething and My So-Called Life. In this movie a terrorist group brings a homemade atomic bomb aboard a tugboat in the harbor of Charleston South Carolina in order to blackmail the U.S.
1, The Communist University of the Toilers of the East or KUTV (Russian: ÐÐ¾Ð¼Ð¼ÑÐ½Ð¸ÑÑÐ¸ÑÐµÑÐºÐ¸Ð¹ ÑÐ½Ð¸Ð²ÐµÑÑÐ¸ÑÐµÑ ÑÑÑÐ´ÑÑÐ¸ÑÑÑ ÐÐ¾ÑÑÐ¾ÐºÐ° or ÐÐ£Ð¢Ð; also known as the Far East University or Stalin School) was established April 21 1921 in Moscow by the Communist International (Comintern) as a training college for communist cadres in the colonial world. The school officially opened on October 21 1921.
7, The GheorghiÈeni River is a tributary of the BistriÅ£a River in Romania.
9, Tamsica floricolans is a moth of the Crambidae family. It is endemic to Oahu Molokai and Lanai.Adults have been reared from whitish larvae among the roots of sugarcane. The larvae spin a frail cocoon in the soil.
7, Rock Creek is a tributary of the Palouse River in the U.S. state of Washington. The source of the creek is Pine Lakes in the Turnbull National Wildlife Refuge (TNWR). The creek flows through the TNWR and ultimately joins the Palouse River 6 miles (10 km) downstream from the unincorporated town of Winona Washington.Rock Creek drains a basin of 430 square miles (1100 km2) 13 percent of the Palouse River basin. Rock Creek drains Rock Lake and upstream from that Bonnie Lake.
6, Chowmahalla Palace or Chowmahallat (4 Palaces) is a palace of the Nizams of Hyderabad state. It was the seat of the Asaf Jahi dynasty and was the official residence of the Nizams of Hyderabad while they ruled their state.
11, The second extended play of South Korean girl group 2NE1 was released on July 28 2011 by YG Entertainment in distribution by KMP Holdings in South Korea. It contains six songs composed and produced by Korean producers Teddy Park and Kush. The Japanese version of the EP titled Nolza was released in Japan on September 21 2011 in three editions: CD Only CD+DVD (Type A) and CD+DVD (Type B). Five of the six tracks were released as official digital singles.
6, New York Congregational Home for the Aged also known as New York Congregational Center for Community Life is a historic care facility associated with the Congregational church at 123 Linden Boulevard in Flatbush Brooklyn New York New York. It is a three story brick institutional building in the Colonial Revival style.
12, Ballen i Ã¸yet (English: Ball in the eye) is a 2000 Norwegian comedy film directed by Catrine Telle starring Laila Goody. Denise (Goody) is heavily short sighted but still plays football. One day she is hit in the eye by a ball and loses consciousness. When she wakes up it seems that everyone else has an identical twin.
6, The Railroad Cottage Historic District in Las Vegas Nevada was constructed by the San Pedro Los Angeles & Salt Lake Railroad to provide housing for the railroad's workers.
9, Damias coeruleomarginata is a moth of the Arctiidae family. It is found in New Guinea.
8, Brzydowo [bÊÉ¨ËdÉvÉ] is a village in the administrative district of Gmina ÅwiÄtki within Olsztyn County Warmian-Masurian Voivodeship in northern Poland.While traditionally Prussian with the Second Peace of Thorn in 1466 the area became part of the Kingdom of Poland until 1772; 1772-1945 Kingdom of Prussia and Germany (East Prussia).The village has a population of 442.
2, Cyril J. Mockridge (August 6 1896 - January 18 1979) was an English film and television composer who composed the scores for such films as Cheaper by the Dozen Grand Canary Danger - Love at Work In the Meantime Darling Wake Up and Dream Nightmare Alley and Road House.
2, FranÃ§ois Marcela-Froideval (born December 10 1958) is a French role-playing game videogame and comic scenarist.Froideval had a major influence on the introduction of role-playing games in France mainly as editor in chief of the now-defunct Casus Belli role-playing magazine.
8, Khoshk Rud (Persian: Ø®Ø´ÙØ±ÙØ¯â also Romanized as Khoshk RÅ«d; also known as Khoshkeh Rood Khoshkeh RÅ«d Khoshke RÅ«d and KhushkrÅ«d) is a village in Poshtkuh Rural District in the Central District of Khvansar County Isfahan Province Iran. At the 2006 census its population was 287 in 79 families.
2, Gian Carlo Aliberti (also Giancarlo and Giovanni Carlo; 1 March 1662â1740) was born in Canelli near Asti in north-west Italy studied in Rome and became a prolific Piedmontese painter of the seventeenth and eighteenth centuries.Many of his frescos painted in the rococo manner have been lost along with the churches for which they were made. Two from SantâAnastasio Asti (demolished in 1907) are conserved in the townâs art gallery in Palazzo Bellino: Tobia e lâAngelo and Il Paralitico.
5, HMS Constance was a 50-gun fourth-rate frigate of the Royal Navy launched in 1846. She had a tonnage of 2132 and was designed with a V-shaped hull by Sir William Symonds. She was also one of the last class of frigates designed by him. On her shakedown voyage from England to Valparaiso she rounded Cape Horn in good trim her captain for this voyage being Sir Baldwin Wake Walker who commented I think her a good sea boat and a fine man of war.
0, Disney Media Distribution (DMD) is responsible for The Walt Disney Company's branded and non-branded filmed entertainment distribution now distributing more than 30000 hours of content to over 1300 broadcasters across 240 territories worldwide.
6, The Dallas Holocaust Museum/Center for Education & Tolerance is a Holocaust museum located in Dallas Texas. In 1977 125 Jewish Holocaust Survivors and North Texas residents joined together and formed an organization called Holocaust Survivors in Dallas. In 1984 the survivors along with national and North Texas benefactors established The Dallas Memorial Center for Holocaust Studies. The museum was located at the Dallas Jewish Community Center in North Dallas.
8, Gornje Dragovlje is a village situated in GadÅ¾in Han municipality in Serbia.
4, Robert F. Spada is a former Republican member of the Ohio Senate representing the 24th District of the U.S. state of Ohio from 1999 to 2008.
0, Trunk Records is a British independent record label which specialises mainly in lost film scores unreleased TV music library music old advertising jingles art sexploitation and kitsch releases. It was founded in 1995 by Jonny Trunk and has since gained a cult following as a result of the releases of material from scores for films such as Deep Throat Kes The Wicker Man Blood on Satan's Claw and George A.
7, Challwa (Quechua for fish hispanicized spellings Chalhua Challhua) or Wiksu (Quechua for twisted bent hispanicized Huicsu also Huicsa Wiksa means stomach) is a mountain in the southern Cordillera Blanca in the Andes of Peru about 5487 m (18002 ft)) high. Challwa is located in the Ancash Region Bolognesi Province Aquia District and in the Recuay Province Catac District. It is situated northeast of Qiwllarahu west of Pastururi and Tuku and south of Santun (SantÃ³n).
0, Servisair is an aircraft ground handling company operating at 175 airports worldwide.It is a subsidiary of Swissport. Its head office is in the Servisair House in Runcorn Cheshire. It is registered in England with the number 509585.
1, PCiT institute of IT and Management (PCIT) is a Govt. registered Computer Educational and training institute in Allahabad Uttar Pradesh India. . Founded in 2000 the institute offers Information Technology Hardware and Software in Computer and Mobile as well as international and fellowship programmes. Its executive education programs also include non-credit courses and visits at business schools and Institutes.
11, Carnival of Rust is the second album by the Finnish rock band Poets of the Fall. It was released on 12 April 2006 in Finland 12 September 2006 in Sweden October 2006 in Australia Russia and Ukraine then on 20 April 2007 in Germany.
3, Stefan Pieper (born 1 April 1982 in Winterberg North Rhine-Westphalia) is a retired German ski jumper.In the World Cup he finished once among the top 15 his best result being a seventh place from Sapporo in January 2003.
6, The Batavia Depot Museum is a museum in Batavia Illinois that was once the town's Chicago Burlington and Quincy Railroad Depot. It was the first of many depots built by the company. It was listed on the National Register of Historic Places in 1979.
3, Jaqueline MourÃ£o (born December 27 1975) is a Brazilian cross country skier. She has competed since 2006.
10, Castilleja elegans the elegant Indian paintbrush is a herbaceous plant species in the genus Castilleja found in Canada.
0, Worldwide News Ukraine or WNU is an independent news agency based in Ukraine that focuses on reporting globally significant news about Ukraine and events taking place in the country. It provides coverage on Ukrainian politics economy business sports science culture and lifestyle and independently produces photo and video materials to illustrate its multimedia releases. The WNU motto is Daily. Concise.
1, Ash Fork High School is a high school in Ash Fork Arizona. It is the only high school under the jurisdiction of the Ash Fork Joint Unified School District which also includes an elementary school and middle school.
5, USNS Range Tracker (T-AGM-1/T-AG-160) was an Air Force Systems Command Range Tracker-class missile range instrumentation ship. She was acquired from the National Defense Reserve Fleet in the 1950s and converted into a missile range tracking ship with a civilian crew. She performed tracking duties from 1961 through 1969 on the Western Launch and Test Range.
0, Farrell's Ice Cream Parlour is an American ice cream parlor chain founded in Portland Oregon in 1963.
13, The Fourposter is a 1951 play written by Jan de Hartog. The two-character story spans thirty-five years from 1890 to 1925 as it focuses on the trials and tribulations laughters and sorrows and hopes and disappointments experienced by Agnes and Michael throughout their marriage. The set consists solely of their bedroom dominated by the large fourposter bed in the center of the room.
0, Driscoll's is a privately held company that sells fresh berries. Its headquarters is in Watsonville California USA and it has been family-owned for over 100 years. As of 2014 more than 40000 people globally are involved in developing growing and harvesting both conventionally grown and organic strawberries raspberries blackberries and blueberries for the company.
10, Abutilon parishii is a species of flowering plant in the mallow family known by the common names Parish's Indian mallow and Pima Indian mallow. It is native to Arizona in the United States and Sonora in Mexico.This plant is a shrubby perennial herb growing up to about a meter tall but known to reach 1.9 metres (6 ft 3 in) in maximum height. There is a single stem or multiple stems which are coated in glandular hairs. They are mostly naked with occasional leaves.
13, The Encyclopedia of the History of Arabic Science is a three-volume encyclopedia covering the history of Arabic contributions to science mathematics and technology which had a marked influence on the Middle Ages in Europe.
12, The Swiss Conspiracy is a 1976 action film starring David Janssen Senta Berger and Elke Sommer and directed by Jack Arnold. It was co-produced between Germany and the United States.
9, The tire track eel (Mastacembelus armatus) is a species of ray-finned spiny eels belonging to the genus Mastacembelus (Scopoli 1777) of the family Mastacembelidae and is native to the riverine fauna of India Pakistan Sumatra Sri Lanka Thailand Viet Nam Indonesia and other parts of South East Asia. The species was named Mastacembelus armatus by LacepÃ¨de in 1800.
5, Ariane 4 was an expendable launch system designed by the Centre National d'Etudes Spatiales and manufactured and marketed by its subsidiary Arianespace. Ariane 4 was justly known as the âworkhorseâ of the Ariane family. Since its first flight on 15 June 1988 until the last on 15 February 2003 it made 113 successful launches.
12, DÃ©classÃ©e is a 1925 American silent drama film of manners produced and released by First National Pictures in association with Corinne Griffith as executive producer. Griffith also stars in the production directed by Robert G. Vignola which is based on the 1919 play by ZoÃ« Akins that starred Ethel Barrymore. A print of this film resides in the British Film Institute with a trailer surviving at the Library of Congress.
12, Spin (also known as You Are Here) is a 2007 American comedy-drama film directed by Henry Pincus and featuring Patrick Flueger Adam Campbell Katie Cassidy and Lauren German.
10, Bafodeya benna is a species of plant in the Chrysobalanaceae family. It is found in Guinea and Sierra Leone.
5, The Anatra V.I. (for Ivanov-Voisin not the Roman numeral VI) was a Russian reconnaissance aircraft of World War I. It was a redesign of the French Voisin Type L undertaken by Podporuchik Piotr Ivanov in Zhmerinka. The Voisin's fuselage pod was replaced by a streamlined plywood construction that included an all-new mount for the observer's machine gun and an aluminium firewall between the pilot's cockpit and the aircraft's fuel tank. The wings and landing gear were strengthened as well.
6, The Federal Correctional Institution Edgefield (FCI Edgefield) is a medium-security United States federal prison for male inmates in South Carolina. It is operated by the Federal Bureau of Prisons a division of the United States Department of Justice. The facility also has an adjacent satellite prison camp for minimum-security male offenders which houses between 500 and 549 inmates.
7, HÃ¤userbach is a river of Hesse Germany.
7, Biokovo (pronounced [bÃ®ÉkÉÊÉ]) is the second-highest mountain range in Croatia located along the Dalmatian coast of the Adriatic Sea between the rivers of Cetina and Neretva. It is sometimes referred to as Bijakova especially among inhabitants of the eastern side of the mountain. Its highest peak is Sveti Jure (Saint George) at 1762 m.a.s.l.
11, Beneath the Shadows is the second studio album by the American hardcore punk band T.S.O.L. (True Sounds of Liberty) released in 1983 through Alternative Tentacles. With the addition of keyboardist Greg Kuehn to the lineup the band moved away from punk rock in favor of a gothic rock sound in the vein of The Damned and Siouxsie and the Banshees alienating much of their hardcore audience in the process.
9, Saxon (1871-1895) was an American Thoroughbred racehorse that won the 1874 Belmont Stakes the eighth running of that stakes race.
8, Banmazaran (Persian: Ø¨Ø§Ù ÙØ²Ø§Ø±Ø§Ùâ also Romanized as BÄnmazÄrÄn) is a village in Ban Zardeh Rural District in the Central District of Dalahu County Kermanshah Province Iran. At the 2006 census its population was 1508 in 351 families.
3, Andrei Sergeyevich Kalaychev (Russian: ÐÐ½Ð´ÑÐµÐ¹ Ð¡ÐµÑÐ³ÐµÌÐµÐ²Ð¸Ñ ÐÐ°Ð»Ð°Ð¹ÑÐµÐ²) (born October 26 1963 in Kaluga) is a retired Soviet and Russian football player.
1, See also South Park (disambiguation)South Park Elementary is a public elementary school in Victoria British Columbia part of School District 61 Greater Victoria. It is currently conceived as an alternative primary school with a focus on the arts and an emphasis on parent participation. As such its catchment area comprises the whole Greater Victoria school district.
3, Charles Joseph Wilson II (born July 1 1968 in Tallahassee Florida) is a former professional American football wide receiver in the National Football League. He played for six seasons for the Green Bay Packers (1990â1991) the Tampa Bay Buccaneers (1992â1994) and the New York Jets (1995). Wilson also played for the Tampa Bay Storm of the Arena Football League.
10, Abarema cochleata is a species of legume of the genus Abarema in the Fabaceae family.
9, Ethminolia is a genus of sea snails marine gastropod mollusks in the family Trochidae the top snails.
9, Phtheochroa jerichoana is a species of moth of the Tortricidae family. It is found in Palestine Saudi Arabia Bahrain and Iran (Laristan).
7, The Loboc River is a river in the Bohol province of the Philippines. It is one of the major tourist destinations of Bohol.
1, Centralia College an institution of higher learning located in Centralia Washington is a two-year institution and in 2012 began offering a Bachelor of Applied Science in Management degree (BASM) and is planning to offer a Bachelor of Applied Science in Diesel Technology. Founded in 1925 Centralia is the oldest continuously operating community college in the state of Washington. As shown below the college sits on 29 acres (120000 m2) in the middle of the town of Centralia.
8, Mamino [maËminÉ] is a village in the administrative district of Gmina Sypniewo within MakÃ³w County Masovian Voivodeship in east-central Poland. It lies approximately 4 kilometres (2 mi) north of Sypniewo 25 km (16 mi) north-east of MakÃ³w Mazowiecki and 95 km (59 mi) north of Warsaw.The village has a population of 395.
0, Avions Mauboussin was a French aircraft manufacturer of the 1930s.
7, The Ungureasca River is a tributary of the Valea Iepei River in Romania.
