class,description
3,"AP - Hurricane Ivan's storm surge and pounding waves swamped the barrier islands that stand guard along the central Gulf of Mexico coast, eroding their protective sand and causing millions of dollars in damage, coastal experts said."
0,President Putin promises Russia pioneering new weaponry - amid continuing crisis in the armed forces.
1,Rod Pampling took advantage of perfect morning conditions to snatch a four-stroke lead midway through the second round of the centenary Australian Open on Friday.
3,Reuters - Netflix Inc chief\executive Reed Hastings said on Friday that Blockbuster Inc has\more to lose in the war for online DVD renters than emerging\foe Amazon.com Inc.
1,"Australia is four shots from the lead after the opening fourballs round of the World Cup golf event in Spain, with Stephen Leaney and Nick O #39;Hern tied for sixth on 8-under."
2,"Almost half of the US enterprises who were IBM PC prospects said that they #39;re ready to consider Dell or HP now that the Armonk, NY-based giant is dumping its desktop and laptop business, a research firm reported Thursday."
2,"For those sinking in a flood of unpaid loans, don #39;t lose hope. Many people have gone before you and made it out. Simply put, there are debt-defying actions you can take."
2,"The menu at Flash's, a saloon on Boston's Stuart Street, offers many choices. The jukebox offers even more."
0,"By 1 pm on Sunday, 123 miners were rescued alive after a major gas explosion took place at the Chenjiashan Coalmine, Shaanxi Province, around 7:10 am but another 170 remained trapped underground."
1,Former No. 1 Kim Clijsters #39; latest left wrist problem is a new injury that is expected to end her season but probably won #39;t require surgery.
3,The Napster Mobile service will launch in the US and Canada in 2005 and will utilize a special Napster interface. Users will be able to download ringtones and earn credits redeemable on Napster PC-based service at the same time.
2,Hurricane Ivan may cost insurers less than first estimated after the third storm to hit the United States in six weeks skirted New Orleans.
2,"  GEORGETOWN, Del., Nov. 17 -- Lawyers for plaintiffs in a shareholder suit over Michael S. Ovitz's \$140 million severance package from the Walt Disney Co. suggested on Wednesday that Disney chief executive Michael D. Eisner may have viewed his former protege as threatening."
2,"THE REGION Putnam Investments said Deborah F. Kuenstner, managing director and chief investment officer of the mutual fund firm's Large-Cap Value investment team and International Value team, will leave the company at year-end. Kuenstner has also been an executive board member and management team leader for the \$1 billion Putnam Classic Equity fund. Josh Brooks, chief investment officer of the ..."
1,He was the walking insurance policy the Jets did not want to cash and perhaps the one player his teammates hoped would never see extended time on the field.
0,"SANTA FE, N.M. - Bracing for their final debate, John Kerry accused President Bush of favoring ""friends in the oil industry"" over consumers strapped with rising fuel bills on Monday while Bush said his challenger so misunderstood the war on terror that he thought it could be reduced to ""a nuisance"" akin to prostitution or illegal gambling..."
0,Singapore says it hopes to double manufacturing output in 15 years as regional competition heats up from lower-cost rivals such as fast-growing China and India.
2,"The US Supreme Court serves up a pair of tasty cases this week, one involving interstate sales of wine and the other exploring a government ad campaign for beef."
0,"Palestinian resistance group Hamas has said an Arab country might have helped Israel assassinate one of its members in Damascus . Although Hamas spokesman Usama Hamdan, who called "
1,"AP - Randy Johnson got his 4,137th strikeout Wednesday night, breaking Steve Carlton's major league record for left-handers and moving into third place overall on the career list."
2,Singapore Telecommunications Ltd and Vodafone Group Plc have agreed to build a high-speed wireless phone network in Australia through their local 
3,Today scientists observe volcanoes from much greater distances and can send data across the Internet to scientists around the world.
2,"NEW YORK Sept. 28, 2004 - Consumer confidence declined in September for the second consecutive month, a New York-based private research group said Tuesday."
3,"An alternate-reality game conceived as a marketing ploy is gaining a huge and obsessive following. Fans of I Love Bees stalk pay phones, organize mass salutes and even use the presidential debate to connect with each other. By Daniel Terdiman."
0,"India News, Dharmapuri (Tamil Nadu), Oct 19 (IANS) Veerappan, India #39;s most wanted and most elusive brigand who murdered with impunity, was finally shot dead in his jungle hideout by elite commandos using some of the very tactics he employed for well over "
0,"PUNTA GORDA, Fla. - Until the electricity hums again and the debris is cleared, health officials are worried that there could be more deaths and injuries in Hurricane Charley's aftermath than during the storm itself..."
2,"Softbank Corp., Dentsu Inc. and Nippon Meat Packers Inc. will be added to the Nikkei 225 Stock Average, the compiler of the 55-year-old benchmark said."
3,"AP - For a science that's about manipulating substances at the molecular level, nanotechnology is starting to bring big profits to many consumer product makers."
3,"DECEMBER 16, 2004 (COMPUTERWORLD) - Microsoft Corp. has acquired antispyware vendor Giant Company Software Inc. in New York for an undisclosed amount."
1,"Less than a week after winning his first international figure skating medal, Ryan Jahnke of Grosse Pointe Farms will compete at Skate Canada beginning tonight in Halifax, Nova Scotia."
1,"A look at European hockey rosters shows that Sweden #39;s MoDo might have benefited the most from the NHL #39;s lockout. By Karl Gehring, AP/The Denver Post."
3,"Five California counties and two cities sue the software giant under state antitrust laws, for taking advantage of government buyers."
3,"A FILM industry group has sued a high-end consumer electronics company, claiming its home theatre jukebox system makes illegal copies of movie DVDs."
0,Description: Secretary of State Colin Powell tried to mend fences with Latin America #39;s biggest country at a time when Brazilian popular opinion is adamantly hostile to the United States on issues of trade and foreign policy.
0,"A US celebrity TV special will benefit the tsunami relief effort in South Asia, as actors make donations."
3,Oracle Corp.'s hostile bid to acquire rival enterprise software maker PeopleSoft Inc. for \$7.7 billion is set to continue for a bit longer.
3,"For the second time this year, an alliance of major Internet providers - including Atlanta-based EarthLink -iled a coordinated group of lawsuits aimed at stemming the flood of online junk mail."
0,"Iran says it has halted all work on potentially weapons-related parts of its nuclear program, honoring a deal with European powers."
3,"It shouldn #39;t happen to a scientist: investigators have found that the \$250m (139m) Genesis space probe, which crash-landed in the Utah desert last month, failed because the switches designed to trigger its parachute were installed backwards."
2,"A federal bankruptcy judge approved United Airlines #39; amended financing plan Friday, rejecting union arguments that United didn #39;t try hard enough to come up with an alternative that would continue company contributions to employee pension funds."
3,"Scientists have produced the sharpest picture yet taken of atoms, with a resolution of roughly one 400-millionth of an inch."
2,"Britain #39;s international trade gap widened in July as it ran up a monthly deficit on its oil balance for the first time in more than a decade,official figures showed Thursday."
1,Diamond Ferri ran for 141 yards two touchdowns and scored again on an interception Saturday as Syracuse rolled to a 43-17 victory over No.
3,"When Che Carsner wanted to find discount airline tickets for his parents from the Miami area to New York, he knew where to look. Carsner, a Manhattan real-estate agent logged onto Kayak."
2,"PALO ALTO, Calif.--(BUSINESS WIRE)5 Octobre 2004--CNF Inc (NYSE:CNF) a annonc aujourd #39;hui un accord dfinitif avec UPS. Selon les termes de l #39;accord UPS va racheter la division de fret Menlo Worldwide "
1,An arbitrator rules that he has jurisdiction to decide whether the brawl-related suspensions given to Ron Artest and other NBA players can be appealed to someone other than commissioner David Stern.
1,Portsmouth deservedly beat Tottenham 1-0 at Fratton Park on Monday night as their forwards Yakubu and Lomana LuaLua came out on top against the previously watertight Tottenham defence.
0,AP - President Bush said Wednesday that Sen. John Kerry's views on national security are so misguided that the Democrat would be unable to defeat terrorism.
1,"AP - As a freshman from Mississippi, defensive end Parys Haralson didn't know much about Tennessee's rivalry with Florida."
1,"CLEVELAND -- LeBron James scored 27 points and assisted on Lucious Harris #39; clinching three-pointer with 6 seconds left as the first-place Cleveland Cavaliers won their eighth straight at home, 103-97 over the New Jersey Nets on Tuesday night."
0,Afghan President Hamid Karzai #39;s running mate in Saturday #39;s presidential election escaped unhurt when a bomb exploded near his convoy in the northern city of Faizabad.
3,"AP - Three top Hollywood studios are throwing their considerable weight behind one of two competing formats for the next generation of DVDs, citing in part the need to stem piracy."
0,US Army Sgt. Charles Robert Jenkins -- accused of defecting to North Korea 39 years ago -- is back on active duty Saturday after voluntarily turning himself at a military base in Japan.
1,"AP - Navy is a wanted team  #151; for a bowl game, that is. Officials from five bowls will attend Saturday's game against Rutgers, with the Midshipmen in strong position to land their second straight postseason berth."
0,"AFP - Ten miners died and about 20 were injured after a gas explosion ripped through a pit in central Siberia trapping dozens of miners, the Interfax news agency reported citing a spokesman for the local government."
0,Life returns slowly to normal in the battered Iraqi city after a huge US-led operation to wrest control from insurgents.
1,"Backed by Derek Jeter's three R.B.I.'s and a relentless offense, Kevin Brown threw six strong innings to lead the Yankees past the Minnesota Twins, 8-4."
3,"LONDON, Aug. 26 /PRNewswire-FirstCall/ -- In a move that is intended to deliver benefits for the mobile industry and for mobile customers, Nokia and Vodafone today announce the formation of a mobile service architecture initiative."
2, LONDON (Reuters) - Oil prices held strong on Friday not far  below the \$55-a-barrel mark as traders worried time is running  out to top up low heating oil inventories before winter.
3,Electronics giant Sony launched a slimmed-down version of its best-selling PlayStation 2 computer games console today. The new PS2 is half the weight 
1,"WICHITA, Kan. Dec 14, 2004 - A former junior college basketball coach was indicted on charges that he provided false academic information about his athletes to Division I schools looking to recruit the players."
0,"AP - France urged caution Thursday in dealing with a U.S. inspector's allegations it was involved in corruption at the U.N. oil-for-food program in Iraq, while others singled out in the report rejected the charges as ""far-fetched."""
1,"AP - Tiger Woods hardly looked like himself until a painful first round at the American Express Championship was over and he signed for a 4-under 68, two shots out of the lead at a tournament he has won the last two years."
0,"AFP - UN ambassadors agreed here unanimously on the text of a resolution aimed at restoring peace to war-ravaged Sudan, as the country's main foes promised to conclude talks on their 21-year-old conflict by the end of the year."
0, WASHINGTON (Reuters) - The United States on Wednesday  accused Saudi Arabia of severe violations of religious freedom  in a rare official rebuke of a close ally and key oil supplier  that potentially could lead to sanctions.
3,"An Independent News writer tells of his switch from Windows to a 15-inch PowerBook,:  #147;Two months in, I have a prevailing sense of security and safety. There #146;s been not a sniff of system meltdown. The software and security updates are easy, convenient and (via broadband) fast. The sense of considerable computing power and massive processing going on is very evident, but it feels secure behind the OS X firewall and a router; and all with no need for antivirus software. #148; Aug 20"
1,"Tim Henman celebrates his 30th birthday on Monday, although celebrate is hardly the right word judging by the face he pulled when the landmark was mentioned."
1,Dion Harris was an important cog for Michigan #39;s run to the postseason NIT championship last season. Harris is now doing it again for the Wolverines in their push to become to the first 
3,"AP - For paramedics in rural areas, responding to frantic calls for help is at times akin to doing a high-wire act without a net. Mountains, valleys, bad weather and long distances between hospitals make communication with emergency room physicians spotty at best and nonexistent at worst."
3,"European Space Agency -- Innovative uses for plastics, rubber and their derivatives will be on display next week in Dsseldorf, at the world's leading trade fair for plastics and rubber, K2004.     A team from ESA will be present to show visitors how these commonplace materials can be used in space  and how this can lead to new technology for use on Earth..."
0,"AFP - The body of an Egyptian was found on a road north of the Iraqi town of Tikrit, police and medical sources said."
0,"AFP - The Dutch electronics group Philips said that it is selling its low-brand flat screens business group to TPV Technology of Taiwan as part of a strategic change of direction, and in line with a trend by big groups to use Asian partners to cut costs."
0,USATODAY.com - A number of spending initiatives promoted by President Bush as he seeks re-election are set to get less money than he wants from the Republicans who control Congress.
3,"Reuters - U.S. computer company Hewlett-Packard\said on Wednesday it was expanding a built-to-order system for\personal computers and other high volume computer products,\similar to rival Dell."
1,ANAHEIM ---- Angels management was so disturbed by Jose Guillen #39;s backlash at manager Mike Scioscia after Guillen was removed for a pinch runner Saturday that the team is willing to chase a playoff berth without its slugging left fielder.
2,The niche doughnuts that rose quickly in popularity are feeling the weight of the low-carb craze and mass marketing. By Deb Kollars and Edie Lau -- Bee Staff Writers.
1,"In Coach Herman Edward's first three seasons, the Jets went 4-4, 6-2 and 5-3 after the halfway point."
3,"SEPTEMBER 20, 2004 (COMPUTERWORLD) - VMware Inc. released today a virtualization tool for PCs it says will cut hardware and maintenance costs for users such as independent contractors that support third parties on their networks."
2,"(1010 WINS) (NEW YORK) Marsh and McLennan #39;s chairman and chief executive Jeffrey Greenberg will step down this morning, according to a published report."
1,Denver Broncos running back Quentin Griffin #39;s strange season came to an end Tuesday when the team #39;s worst concerns were realized.
0,BAGHDAD -- A gruesome video posted on a website purportedly showed militants beheading a Nepalese worker and shooting 11 others in the first mass slaying of foreign hostages during the Iraqi insurgency.
2,"Small businesses were less optimistic about US economic growth last month than in July, and fewer expected sales to increase in the coming months, according to a survey by the National Federation of Independent Business."
3,"USATODAY.com - The European Commission on Tuesday cleared Oracle's hostile  #36;7.7 billion bid for rival business-software maker PeopleSoft, lowering the last antitrust hurdle to the contested deal. ""There is an absence of sufficient evidence of competitive harm,"" regulators said in a statement."
1,"Asked last Friday if he had been given any news of his fate or his future with the Mariners, Bob Melvin said he had not.  quot;But look around the office, quot; he said with a grim smile."
2,"The Framingham Community Health Center, which just opened in March, is hoping to relocate and expand to serve a fast-growing population of low-income, mostly Brazilian patients."
1,"Joe Crede is Chicago's sixth player with 20 homers, a franchise record. The other White Sox with 20 or more homers are Paul Konerko (40), Carlos Lee (29), Jose Valentin (29), Aaron Rowand (22), and Juan Uribe (21)."
2,"Despite cautionary words from Bank of Canada Governor David Dodge last week about the impact of the rising dollar, Canadian gross domestic product likely grew at a healthy 3.5 clip in the third quarter due to strong consumer spending."
1,"An 850-acre tract of farmland in Snohomish County near Marysville is the preferred site for a new \$140 million, 75,000-seat NASCAR track, county and city officials said Monday."
1,AP - Orioles rookie left-hander Erik Bedard has been shut down for the remainder of the year after pitching more than 133 innings in his first full season following elbow ligament replacement surgery.
1,Boca Ratons Vince Spadea became the latest victim of the top seed curse that has existed at the Delray Beach-based tournament since it began in 1993.
3,AP - Buildings are getting smarter  #151; and the next generation of building materials is expected to do even more. Windows could trap the sun's energy to heat hot water. Sensors that measure the carbon dioxide exhaled by people in a room could determine whether the air conditioning needs to be turned up.
0,"NAJAF, Aug 22: Heavy clashes flared between US troops and militiamen in Najaf on Sunday after the suspension of a proposed hand over of the militia #39;s shrine stronghold to Iraq #39;s religious leadership."
0,"Looking back at the major events that took place in the Middle East in 2004, the death of veteran Palestinian leader Yasser Arafat is undoubtedly a world-shaker."
0,"Just after escaping an attempt to kill him on Wednesday, he said an Iraqi court had dropped charges that could have put him in jail."
0,"AFP - A Washington-inspired project for Middle East reform will begin in Morocco next month by looking at ways of improving cooperation and strengthening political and economic reform, the foreign ministry said."
3,"Forbes.com - In an August memo typed from his hospital bed, Steve Jobs--Apple's chief executive, patriarch and media impresario--let his employees know he would be out for a month to recover from surgery to remove a rare form of pancreatic cancer. Patients with this type of cancer, called an islet cell neuroendocrine tumor, have a 90 survival rate, especially if treated early. Apple says Jobs is due back in September."
3,"The trade commission hears what's right and wrong with file sharing, but there's no guarantee it will institute regulations. Michael Grebb reports from Washington."
3,"Male scientists are good at research because they have higher-than-average levels of the female hormone oestrogen which aids analytical skills, a study on Bath University academics today revealed."
3,"August 18, 2004 - CNN #39;s latest Game Over column suggests that Sony may delay the US release of the PSP to June 2005: Activision CEO Bobby Kotick told investors yesterday that his company does not expect the PSP to launch in North America until the second ..."
3,The last of the seven Project Mercury astronauts who pioneered US space exploration in the 1960s remembered one of their own as a fearless pilot with the  quot;right stuff quot; in 
1,Van Persie scored a last-gasp equaliser to rescue Arsenal from the jaws of defeat against Southampton on Saturday. The visitors had looked certain to condemn Arsene Wengers side 
1,"SOUTH WILLIAMSPORT, Pa. -- Looking ahead to the US championship game almost cost Conejo Valley in the semifinals of the Little League World Series."
0,"AP - An ailing Yasser Arafat  #151; too weak to stand, unable to hold down food and spending most of Thursday sleeping  #151; agreed to leave his battered West Bank compound for the first time in more than two years and fly to Paris for urgent medical treatment."
2,There's a good chance you'll become disabled for a while. Are you protected?
1,Maurice Greene will be seeking belated revenge after losing his Olympic 100 meters title to Justin Gatlin when the two Americans meet in an international meeting Thursday.
1,"A Greek soldier guarding an Olympic facility in Athens was shot dead Monday after apparently playing game of Russian roulette with a policeman, security sources said."
1,"The Boston Red Sox are two wins away from their first World Series championship since 1918, two wins away from reversing the dreaded Curse of the Bambino, two "
0," GUWAHATI, India (Reuters) - Suspected separatist rebels set  off a string of fresh bomb blasts in northeastern India on  Sunday, bringing the death toll in a weekend of violence to 56."
0,"MADRID, Spain - Spanish media are reporting that at least one explosion -- and possibly as many as four blasts -- have gone off in Madrid following a warning from a Basque (search) group."
3,"Gordon Cooper, 77, one of the seven original US astronauts, who made the nation #39;s first manned spaceflights and became known as possessors of  quot;The Right Stuff, quot; died yesterday at his home in Ventura, Calif."
1,TORONTO (Ticker) -- Seattle Mariners pitcher Cha Seung Baek will not have many fond memories of his first major league start. Baek gave up six runs in the second inning and did not make it out of the third 
1," GREENSBORO, North Carolina, Oct 16 (Reuters) - British Open  winner Tom Lehman and Brent Geiberger shared the lead after the  third round of the Greensboro Classic Saturday."
0, LONDON (Reuters) - Britain promised an urgent security  review at Buckingham Palace on Tuesday after a campaigner  dressed as Batman evaded armed police in a dramatic five-hour  protest at Queen Elizabeth's London residence.
2,"General Electric Co. violated the law by failing to fully disclose to investors the many perks lavished on its retired chief executive Jack Welch, the Securities and Exchange Commission said Thursday."
2,"Martha Stewart just can #39;t catch a break. Shares in her former company rose another 12 cents yesterday, to \$11.26, continuing a recovery that began soon after her conviction."
3,"Two of the world #39;s consumer electronics giants, Samsung Electronics Co. Ltd. and Sony Corp., have signed a cross-license agreement detailing mutual usage of patents across major product lines owned by the two companies."
1,AP - Kennedy Winston scored 24 points to lead No. 18 Alabama over Western Carolina 97-66 on Friday night.
3,"The next crew of the International Space Station (ISS) is to contribute to the Russian search for a vaccine against AIDS, Russian cosmonaut Salijan Sharipov said on Friday."
1,NEW YORK - The New York Yankees can achieve two milestones with one more victory: clinching their seventh straight AL East title and reaching 100 wins in three straight seasons for the first time.
3,Cognos CEO Rob Ashe says companies are demanding a more tangible means of measuring the return on their business intelligence investment.
3,"EMC last week said it has hired former IBM veteran Jeffrey M. Nick as chief technology officer for the storage vendor. Nick, who left IBM in June following 24 years with the company "
2,Oil prices fell sharply yesterday after briefly passing \$54 a barrel amid nagging concerns in the market that the global supply buffer is too thin to handle a significant output disruption.
1,Boston coach Doc Rivers was golfing with Bob Cousy and KC Jones when the two Celtics Hall of Famers started talking about Bill Russell.
3,Adobe has issued a patch for Acrobat Reader to correct a vulnerability that could allow an atacker to take over a user #39;s system with an infected PDF file.
0,The US military blocked roads round Iraq #39;s rebel-held city of Falluja on Friday after mounting air strikes overnight that local hospital sources said killed three people.
1,Reuters - Shaquille O'Neal scored a season-high\40 points and added 12 rebounds and five blocked shots to drive\the host Miami Heat past the Washington Wizards 106-83 Monday.
1,"AP - Lenny Harris has come up with clutch hits throughout his record-breaking career as a pinch hitter. His three-run double off Eric Gagne was a bit more special than most. Harris pushed his major league record for pinch hits to 190 Wednesday night, lining a bases-clearing double into right-center with two outs in the ninth to rally the Florida Marlins past the Los Angeles Dodgers 6-4."
1,"Chelsea chief executive Peter Kenyon has criticised the seven-month ban handed out to Adrian Mutu, claiming the FA had shown themselves to be  #39;weak over the issue of drugs #39;."
1,Colorado Rapids defenders Antonio de la Torre and Jeff Stewart were selected by CD Chivas USA in the MLS expansion draft on Friday.
3,"Latest round of legal action targets users of a variety of services, including eDonkey."
3,Intel #39;s biggest customer for its Itanium processor is to stop building workstations built around the chip according to the online edition of the Wall Street Journal.
0,Russian President Vladimir Putin pledges to back a parliamentary commission into the Beslan school siege.
3," NEW YORK (Reuters) - When the manager of a coin-operated  laundry seduces a mother and daughter and convinces them to  skip town, there's bound to be trouble, or perhaps a movie  plot."
1,"THE GIRLS Following are the leading scorers in EMass. Information is supplied by league representatives. PLAYER G A Pts 1. J. Vickers, Norwell 32 14 46 2. J. Leaverton, Feehan 26 13 39 3. B. Hogan, Bp. Feehan 26 12 38 3. J. Powers, Andover 24 14 38 5. M. Sheehan, Belmont 21 16 37 5. S. Leonard, Rockland 20 ..."
0,"SEOUL, South Korea - The United States will withdraw 12,500 troops from South Korea by 2008, delaying its original plan to redeploy the troops by the end of next year, the South Korean Defense Ministry said Wednesday.    In a statement, the ministry said the U.S..."
1,PALACE #39;S leading goal-scorer Andy Johnson was jubilant last night after giving the Eagles Premiership lift-off. The Selhurst Park forward drew first blood eight minutes after half-time with his fifth league goal of the season.
3,"The Cat's Eye Nebula was the first planetary nebula ever to be discovered but its complex gas layers give knots and jets like the Lord of the Ring's famous floating eye of Sauron.    Astrobiology Magazine -- A new study of a large number of planetary nebulae has revealed that rings, such as those seen here around the Cat's Eye Nebula, are much more common that thought so far and have been found in at least one third of all planetary nebulae..."
0,"ISLAMABAD, Pakistan -- A bomb exploded Sunday at a Shiite mosque in the eastern city of Lahore, injuring several people, police said."
2,"CHICAGO (CBS.MW) - The dollar turned mixed, paring broad gains earned Thursday in the wake of US jobless claims data that reinforced expectations for rising US interest rates."
3,"Microsoft released five security bulletins on Tuesday as part of its monthly update cycle, warning of vulnerabilities that put computers running Windows at risk of attack."
2,"For 18 months, Office Depot executives have delved into the minutiae of the retailer #39;s financial controls, scrutinizing how it accounts for the goods it buys and testing to see, for example, that daily sales match daily deposits."
0,"AFP - A resolution seeking UN Security Council action against Myanmar was introduced in the US Senate, accusing the Southeast Asian state's military rulers of brutally repressing ethnic minorities and using rape as a weapon of war."
3,"&lt;I&gt;National Treasure,&lt;/I&gt; the new Nicolas Cage movie, plays to the public's fascination with conspiracy theories and secret societies like the Freemasons. So how true is it?"
2,The chief executive of Boeing Co. says his efforts to end government aid programs for rival aircraft manufacturer Airbus SAS are intended to head off a wider trans-Atlantic dispute over subsidies that could end up at the World Trade Organization.
1,"ENGLAND fast bowler Steve Harmison is the world #39;s number one bowler, according to the latest PwC Test ratings. The Durham quick #39;s match-winning nine-wicket haul in the fourth and final Test against the West "
1,"Tight ends Byron Chamberlain and Jed Weaver were among the 20 players cut by the Denver Broncos on Sunday. Heading into this season, Chamberlain and Weaver were considered the leading candidates to replace Shannon Sharpe, who retired in the offseason."
1,"Deep in thought, almost certainly unrelated to the task in hand, Keith Miller once led 12 men on to the field for New South Wales."
2,"In a real-estate market in which homeowners have been flipping properties almost as quickly as they would stocks, eBay #39;s getting in on the action."
2,"US Airways Group Inc., struggling to avoid a second bankruptcy since 2002, gave its pilots #39; union a new plan for \$295 million in pay and benefit cuts three days after the group rejected a prior offer."
3,Taiwan electronics components maker Delta Electronics Inc said on Friday a recall of power adapters for laptop computers would cost it less than T\$50 million (\$1.
3,Microsoft and Sun Microsystems last week issued a progress report on the technical truce the companies called this year but gave little indication of what specific fixes they would devise to address customers #39; problems.
1,"Evanston, IL (Sports Network) - Northwestern head football coach Randy Walker was hospitalized with an undisclosed illness before a Monday press conference."
2,"NEW YORK, October 5 (newratings.com) - Microsoft Corporation (MSFT.NAS) and PalmOne Inc have announced a new licensing deal to enable mobile email services on PalmOne #39;s Treo smart phones."
1,"It happens all the time in hockey, football and basketball, and maybe it will catch on in baseball, too, after players from both teams exchanged handshakes Sunday after the St."
2,"Manufacturing executive John Workman was named chief financial officer of HealthSouth Corp. on Tuesday, replacing an interim executive who helped the rehabilitation giant avoid bankruptcy after a massive accounting scandal."
2," TOKYO (Reuters) - Tokyo's Nikkei average rose 1.33 percent  by midday on Friday, led higher by banks and insurers thanks to  a better-than-expected corporate sentiment survey by the Bank  of Japan."
0,Leaders and dignitaries from around the world are headed to Cairo for the funeral of Yasser Arafat. The Palestinian leader #39;s casket arrived there today on board a plane from Paris.
0,"Taipei, Oct. 25 (CNA) A local TV reporter was swept away by floodwaters and drowned while covering Typhoon Nock-Ten in Taipei County Monday morning."
