comment_text,toxic
"""

   I'll change those in a minute, thank you for looking it over! For your part, here's what I found:

You wrote """"...of all elements in a products"""" It isn't gramatically correct, it should be:
""""...of all elements in a product""""

You wrote """"Elements such as colour tone,..."""" The official name of the element is just colour, and should remain like that to maintain it as a professional reference.

You wrote: """"Therefore it is in the product designers best interest...""""  You're missing an apostrophe, it should be:
""""Therefore it is in the product designer's best interest"""" or """"Therefore it is in the product designers' best interest""""

You wrote: """"Keeping in mind about how consumers ..."""" It's convoluted, it should be:
""""Keeping in mind how consumers...""""

You wrote: """"The solution to that is to create a product, that in its designed appearance and function, expresses..."""" In order to make it flow better, since the commas here are used as a parenthesis, it should be:
""""The solution to that is to create a product that, in its designed appearance and function, expresses..."""" That way, if you were to take out the part between the commas, the sentence would still flow.

You wrote: """"...subject to peoples judgment..."""" You're missing an apostrophe again. It should be:
""""...subject to people's judgment...""""

The comparison you used about the pretty and abusive person seems a bit out of place, maybe pretty and rude would be a bit better?

But apart from that, I liked it a lot! I will get to reading the last two sections, sorry for the long list, they're minor things really. And I agree with needing a more appealing image to represent the page.

To add, Cassandra, for the book I used, I actually used a slideshow from my Design Thinking class, which references that book, so I wasn't sure what to cite it as, does anyone have any ideas for that? As for the format I used, I just used the automatic cite button at the top of the editor.""",0
I Can design of Wikipedia we are copy things from the web Today! You Son of Bitch!,1
"RE:
Have a look:
 all listed pages 
False garden mantis
onchestus sp.
spur legged phasmid
A. monstrosa
childrens stick insect
Titan stick insect
Large brown mantis
Burying mantis *New*
Goliath stick insect *New*
Orthodera ministralis **Brand new** 7:58 7/8/8
Pink-winged phasma **Brand new** 11:15pm 10/5/08
BRAND NEWLargest page-Brisbane insects 5:50pm 23/may/08 ******
Wiki project-Ctenomorphodes tessulatus********",0
"Hi! and Fuck You! 

Eat shit, fucktard.",1
"""But he left all this to run a rag-tag army in the ungovernable Congo"" 

Che Guevara the racist:  (Motorcycle diaries)

""The black is indolent and a dreamer; spending his meager wage on frivolity or drink; the European has a tradition of work and saving, which has pursued him as far as this corner of America and drives him to advance himself, even independently of his own individual aspirations.""

""The blacks, those magnificent examples of the African race who have maintained their racial purity thanks to their lack of an affinity with bathing""

And of course, in context of Cuba's concentration camps for gay men. Fidel and Che ""frequently referred to gay men as maricones, “faggots”""

""The episode upset us a little because the poor man, apart from being homosexual and a first-rate bore, had been very nice to us, giving us 10 soles each""

""Your asides about the economic condition of Cuba are also incorrect and misguided""  Remind me again, all down to the US embargo, no?",1
"HOW MANY PALESTINIAN CHILDREN HAVE YOU SLAUGHTERED TODAY, YOU HOOKNOSE DEVIL??",1
"Thanks for your opinion but I still would like to apply to become an admin. I want a rollback button to help me remove vandalism and to be able to warn people that vandalise and if they keep doing it ban them. 

 I would also like to suggest a ban from editing pages for people that after a warning continue to vandalise, If there is not already one. 

 By the way the image at the top of the page of http://wikipedia.org does not show up",0
S-Head crap like in surveillance photo needs a smack-down shotgun blast immediately if not sooner!,1
"""

 Preference revelation and revealed preference theory 

I recently created the stub preference revelation to function as an overview of the work that's been done in the area of determining what your preference are.  In this entry it states, """"The search for observables in microeconomics is taken even further by revealed preference theory"""".  Samuelson's theory, while by far the most popular, is just one of several notable theories.  

I also created actions speak louder than words and put your money where your mouth is to highlight the economic significance of those two expressions...but I ran into difficulties with editors who are not very familiar with the area of preference revelation.  There's plenty of RS that discuss the economic significance of those two expressions...and they can go a long way to help people understand the topic.

Just wanted to bring these entries to the attention of anybody who is interested in the topic.    """,0
""" 

 :I haven't looked it up in a dictionary, so I don't know what the difference is supposed to be between a principle and a property -). But I do believe that the people who call it the """"superposition principle"""" are talking about exactly the same thing as the people who call it the """"superposition property"""". Anyway, Google says that the phrase """"superposition principle"""" is 20 times as common as the phrase """"superposition property"""". I'd say Wikipedia should stick with the overwhelmingly more-common term, whether or not it's linguistically and pedagogically ideal. But maybe I'm misunderstanding what you're proposing. 

 :Anyway, since """"superposition property"""" appears to be a synonym for """"superposition principle"""" (less common but not unheard-of), it seems to me that it's perfectly sensible to create a redirect page from there to here. -)   """,0
No company has to be complicit in their hate-spewing website.  They shut down Daesh sites on a daily basis.  You are not untouchable.  Spew hatred and face the consequences as it should be.  Suck it up Cornflake.,1
"z] // 1800z 
 :2011-08-21, 0000z // [http://www.webcitation.org/6169TY6oR 0600",0
"What a sham. HAHAHAHA.

HAHAHAHA. This is so funny. 

That poor guy is totally flustered and confused.
So, I am just gonna let him go. lol.
I doubt if he is in a state to understand anything anymore. It will only confuse him further. lol.

He actually inadvertently helped me. lol. I wanted to close those superflous accounts anyway. LOL.

The admins involved are misinformed and confused too, policy understanding and applicability went for a toss, even when the policy is quite explicit. But never mind them. lol. I guess, they cant be expected to spend their time to go thru ALL messages carefully to really and actually understand a situation, so they just act willy-nilly and haphazardly.

BTW, If that guy calls me a Vandal, then I WILL call and consider him a TROLL. And he knows that. lol. Perhaps I should have followed the policy of not feeding the troll. lol.

He started the issue. Why does he get so worked up then?

HAHAHAHAHAHAHAHAHA. He cant take it? HAHAHAHAHAHAHAHAHAHA.

LOL.

Anyway, Sue, I am gonna be quite busy. Important stuff coming up.
I am really going to enjoy.

Will log in only after quite a while. Have a few ideas which can change the technical and general policy of wiki in a very fundamental way. Will have to chat with the concerned guy at wiki.

Anyway, you too have fun Sue.

Enjoy.

HAHAHAHAHAHA.

That guy sure amused me muchly. LOL. HAHAHAHAHAHAAHAHAHA.

Bye.",1
"== MFD templates == 

 Per your edit summary here — I didn't know that was possible to do.  Thanks for fixing it!",0
"::Yes, this is moronic.",1
"- Topic for #linuxfs is Link to file system bugzilla entries now on http://linuxfs.pbwiki.com/ || Some cool bugs there, check 'em out || Linus merged ext4",0
"How could Notley say, as reported in this article, that civil disobedience is legitimate?  How absurd and stupid!",1
"October 2007 (UTC)
Woot that means that this article actually kinda matters and people give a shit D. A good step towards the HIM wiki editors goal....HIM_(band) FA status! p  00:04, 27",1
""" 2014 (UTC) 
 :Can I point out there's a major difference between """"serious consideration to not including material"""" and """"never include""""? ''''''  21:55, 12 July""",0
http://en.wikipedia.org/wiki/Wikipedia_talk:No_original_research/archive15#YouTube_art_as_primary_source,0
"== Looking for help on a major wiki project ==  

 Hey ) I was wondering if you'd be interesting in helping out with www.Knowmore.org, a corporation search wiki we're trying to get off the ground.  We could DEFINATELY use some people that know how to make a wiki community great & the site is almost a blank slate at this point.  It's been heavily customized and is designed to help responsible consumers enter any product or company name and immediatly find information about that co. (the main focus of the wiki is corporate & political information in a much more specialized way then wikipedia currently offers) Let me know if you're interested!  aim: knowmoreorg or bernard@knowmore.org",0
"Thank you, Mendaliv. I agree.",0
The difference is that the interpreted by Christians and Jews of the biblical passages in question are viewed in an historical context.  The passages from the Quran are interpreted in eternal time.  The difference is that for Muslims it is ok to kill all Christians and Jews.,1
"Trump says wall. They want open borders. That's causing major problems and mega bucks due to drug and aliens crossing. Get legal entry then come. Stay off welfare! Get a job!  When college students protested at Kent State  against the draft to Viet Nam, Nixon sent in Guard  America kids were shot. Which I can never forgive him for and I hope he is on a bar-b-que spit in hell. Protest yes. But this type of  mob mentality is not protesting. They want to rule or destroy. Their candidate or destruction. Crazy stupid times with crazy stupid young people led by political propaganda!",1
"I would love to see you say that to his face.  He would knock you flat.  You are a coward, all mouth, no show or respect.",1
"I also would like to write an apology to the person I insulted and right now I am not able to do so.  I would like to show the person that that is not the kind of person I am and he is owed at least that.  Without being on Wikipedia, I have no way to contact this person and don't want him to think that I meant those words.",0
Obama is a wholeeeeee lot classier that Chumpty Dumpty but then again you Chumpettes love that sort of politics.......dirty and arrogant!!!!,1
"Class 1 agressive dog!!!!  I live on the southside were no fences are allowed you can easily walk on my property and be charged by my dog luckily my dogs a little dog, but a family could easily walk on my property and my dog not be reached and she might get shot that would be on me as a dog owner living in a neighborhood with no freaking  but a family could easily walk on my property and my dog not be reached and she might get shot that would be on me as a dog owner living in a neighborhood with no freaking fences fences!!! Where little kids can come on my property anytime!!!! You idiots knocking this guys work don't think you think this guy really feels terrible. And his wife and kids. 
  CLASS 1 AGRESSIVE  DOG.",1
""" 

  
 I would totally have to agree.  The entire issue is about treating same sex couples the SAME as opposite sex couples.  Jurisdictions actually do no """"permit"""" same sex marriage, as much as they stop refusing people of the same sex to marry.  The whole point is that there is no longer any difference between how the partners in the marriage are treated with regards to sex.  I think gender-neutral marriage or perhaps just """"Marriage"""" would be better.""",0
"this may get deleted, but...i cannot understand the level of stupidity in this country that let this inhuman animal back into society.  and now she's volunteering at children's schools.  I just don't understand.  please help me understand.  how is this just?  how is this human?  how is this...?",1
"Denve used to be a nice Place, you All jacked it up, Now the Feds ar going to turn it into Martial Law & your in for a World of Shit!",1
"No new arguments McDoobAU93, the rfc would just be to see if consensus has changed or if people are happy with the status quo 80.192.85.232",0
What an absolutely simplistic and stupid post. Just like your music it is nonsensical and sounds like a fingernail on a chalkboard.,1
"== Vandalism == 

 You are clearly a faggot. It is far more fun to destroy than create, and due to this reason I have recently strangled my wife instead of having vicious sex with her. My daughter is too in intensive care due to me extensively burning her. 
 What is your problem? Come over to the dark side Feezo. You're already in Hell...",1
"Aand they're back as , having created CALIFORNIA MOUNTAIN DEVIL, the same thing. Could you delete it? And maybe salt it? And block as sockpuppet? (And run over their remains with a lawnmower! Hahahaha!!)  nom nom",1
Hendrix - Pure Drug Addict Garbage!  I bet you are about as much a Wolf Eagle as Elizabeth Warren is Native American!,1
"Don't be so stupid.

The Koran isn't a vehicle of hate speech, any more than the Bible is.

The threat to Canadians, is right wing extremism, and Islamaphobia.

It's too bad that you're so afraid that you can't come out from under the bed and enjoy the great, multicultural society we have.",1
"Do something else with your time than, no one is putting a gun to your head.",0
"I don't care which list I end up on:
The president of the United States is an idiot.",1
Then he is a fool who deserves to be benched permanently!  West Virginia don't forget where he really stands.,1
Pearls is the only comic i read everyday!!  Rat for President!!!,1
"Decedent sets out to rob dealer.  Does so, and gets what is coming to him with that kind of company.  I do not feel sorry for either party.  If you assault and steal, you are a criminal and will eventually run into someone bigger and/or tougher than you.  If you are a drug dealer, and discharge a firearm over a theft of your illegal drugs (illegal in that he apparently was not licensed to sell), you are likely to get caught.  Especially leaving your pau stub in said satchel.  Bunch of idiots.",1
"In the article about murderers, does it say if they were neuoleptic-naive?",0
"UNFAIR 

Nandesuka, I must say that I wasn't throwing my weight around, and my comment wasn't in response to her vote. I wasn't browbeating and no other editor was invovled in my decision to make that comment. But the comment wasn't a personal attack, it was a simple statement. I shouldn't be blocked for expressing a POV on a talk page. As for you starting a One week block section where I haven't the opertunity to reply that is not only rude but not a proper debate.",0
LESS inflammatory language you say..... what do you think that made me so angry in the first place mr. Hayden5650? You know i dont get it either why the hell they let a person like you post on WP. I know your type prick.,0
because you are a tweeting cunt flap!!!!!!!,1
"The article says ""crossing his property"".  His stupid behavior presumably impacted other property owners.  I agree that money shouldn't be wasted on silly prosecutions, but this guy should get pounded for stopping the firefighters; especially if he added to the danger they were under.  Unfortunately, the charge was only a misdemeanor, and as such, probably wasn't worth the $$ or bother.",1
"When somebody turns their back on our flag they are also turning their back on those veterans and active duty service personnel who have risked their lives for the freedoms we all enjoy. Now we have these greedy players, making millions for playing a childs game disrespecting all of us. This is how these seditious whiners thank us. 
They try to claim they are only protesting the flag and not the veterans and active duty folks who are fighting and dying for them right now in some of the most rotten places on Earth. Well, listen up, as a veteran I am going to tell you this just one time, you can not separate the two. We fought under that flag and for all that it represents, the good, the bad and even you. So, yes, you have the right to protest but it did not come free, it surely didn't come cheap. It cost many of the best all they had and their families even more and you thank them, by spitting in their face. 
You contemptible swine disgust me to my very core.
Rich in New Mexico.",1
"Discrimination is a point of view, they believe like th emajority of Australians, that homosexuals should not be allowed to be classified as defacto relationships.",0
"""

It's """"you"""", Serge, not """"your"""". You can't even use the language properly, and you insist on judging others? Typical.

Yes, it's true that I've been banned before because (a) I'm an independent old cuss who (b) doesn't take guff from people like """"Smuckola"""" and """"Sergecross"""", who have insisted on acting like jerks about this whole thing. What you call """"disruptive comments"""", I call """"defending myself"""".
It's sad, really. Wikipedia should be a fun, creative resource, but instead it's been taken over by people like Serge, who treat it like a religion  complete with apostates. If there's anybody left among the admins with even a dose of sanity left, I appeal to your good judgement.""",0
"Elton Mayo
Mayo was neither an industrial psychologist nor a sociologist. See David Cullen's dissertation, A new way of statecraft: The career of Elton Mayo. Proquest Dissertations and Theses. Mayo earned a BA in philosophy and psychology at Adelaide (where the ICOH-WOPS conference will be held in September 2014). That was the highest degree he earned. If you want to learn how he got a position at HBS, read this terribly interesting dissertation.",0
True but you can be assured some unintelligent moron will do it for him.,1
It's always been overshadowed by the Chicago fire. Unfortunate.,1
"""

Welcome!

Hello, , and welcome to Wikipedia!  I hope you like the place and decide to stay. Unfortunately, one or more of the pages you created may not conform to some of Wikipedia's guidelines for page creation, and may soon be deleted (if it hasn't already). 

There's a page about creating articles you may want to read called Your first article. If you are stuck, and looking for help, please come to the New contributors' help page, where experienced Wikipedians can answer any queries you have! Or, you can just type  on your user page, and someone will show up shortly to answer your questions. Here are a few other good links for newcomers:
Your first article
Biographies of living persons
How to write a great article
The five pillars of Wikipedia
Help pages
Tutorial
I hope you enjoy editing here and being a Wikipedian! Please sign your name on talk pages using four tildes (~~~~); this will automatically produce your name and the date. If you have any questions, check out Wikipedia:Where to ask a question or ask me on .  Again, welcome! Bullzeye  (Ring for Service) 
Speedy deletion of """"Jon Cameron""""
 A page you created, Jon Cameron, has been tagged for deletion, as it meets one or more of the criteria for speedy deletion; specifically, it is about a person or group of people, but it does not indicate how they are important or significant, and thus why they should be included in an encyclopedia. Please see the guidelines for what is generally accepted as notable, and the guidelines for biographies in particular.

You are welcome to contribute content which complies with our content policies and any applicable inclusion guidelines. However, please do not simply re-create the page with the same content. You may also wish to read our introduction to editing and guide to writing your first article.

Thank you. Bullzeye  (Ring for Service) """,0
", 13 December 2005 (UTC)

Well, officially you are still F.Y.R.O.M, you haven't won the name yet  13:13",0
"Just to make it clear, I reworded it a bit.",0
See above reply to your dumb propaganda.,1
"Seminole, I'm very familiar with your Republican go-to document and website. But it is hardly the only one. Shall I break out my far-from-obscure sources that gainsay yours? Why should you hire black people, other than the law? I mean, we know how stupid and what horrible workers they are. Same with pot. You know it's the devil's drug. Your government has made that very clear.

Blumstein, Alfred, and Kimonori Nakamura. “Redemption in the Presence of Widespread Criminal Background Checks.” NIJ Journal, Issue No. 263 (2009): 10-17. Google 	Scholar. Web. 2 Feb. 2013.",1
"I used to watch it, truly for kicks, but they are thieves and liars.  They stole from the people of Alaska and that ended it for me.  It was all fun and games until someone got hurt.  Wait and see, they'll make fools of us again. Real fools.",1
"You're a fag 

Just wanted to let you know that. D",1
""" 

 == BDAbramson's RFA == 

 Although my RfA is not over yet, I figured that since so many people voted before it had been posted, I may as well start thanking people before it wraps up. It'll take me that long to thank everyone who voted anyway! Thank you, Bunchesofgapes, for jumping on the bandwagon - I'll do my best as an admin to make the reality rise to the level of the dream.   """,0
"Sounds like a great club. You Wikipedia losers shouldn't have deleted this page. 

  

 -Skip, Lake Forest, IL.",0
i guess hollande is a slightly less lame duck than obama at the moment..fix your own country rather than trying to create a new one.,1
"=TERMS= 
 What does E/E/PES mean?  provide link or define.",0
"own line of goods. As a home based company Vincent started designing a small collection of goods including small furniture and framed artwork. With struggling sales and poor representation, he decided to take back his line from sales reps. Refocused and revamped Vincent Inc. was born and launched at the International Gift Fair in Toronto. Sales exceeded expectations and his new found",0
Typical Jenkins bull excrement.  Like many Republicans he wants to suppress the vote so that his little minority of right wing oil company hacks can continue to steal our resources and keep Alaskans poor and submissive.,1
Some of the Leafs fans posting here are unintelligent ones.,1
"""

 """"German speaking Jews are not """"Germans"""", they merely speak German"""" 

You wrote on my talk page """"This article is also incorrect, as it includes German speaking Jews. They are not """"Germans"""", they merely speak German."""". This is no longer a problem of vandalism, this is the pure expression of nazism.   """,0
"I don't trust any of this BS,,, governmental crooks,, Alaska legislature crooks,, university crooks,, and college students more into video games raised by parents that have liberal and democratic immorality , wanting free education and more government control ,,, "" something Thomas Jefferson warned us about "" ! 
This is all about crooks at every level, and the dumb ashes that are not smart enough to figure out there is something BIGGER going on here !",1
Sunnyways spending more money outside the country.......wish we could just stop paying taxes to crooks like this clown,1
Please update the page - Reps for both Pete and Ashlee have confirmed (within 12 hours of their nuptials) that Ashlee is pregnant with Pete's baby.  http://perezhilton.com/2008-05-18-its-official-married-and-baby-on-the-way#more-20617,0
Wonder if the mother will reject it if reunited. Will need to call that Oceanography Museum in Monterey. Don't fall in love with this cute lil bugger. Needs to get back to family.,1
"The crescent moon death cult is steeped in bigotry and is not only contrary to American values but to those of any civilized society. American values do  not include female genital mutilation,  the forced marriage of child brides, ""honour"" killings and slaughtering people in gay dance clubs.",1
It would behoove you to read more widely on this subject.  Those who genuflect to the same old party line cookie-cutter nonsense derive no benefit from Mr. Saunders' navel gazing foolishness.,1
Hey kuro finally seeing the light. Must be a damn kick to the balls. Hallelujah righteousness prevails.,1
"Reply: Mr. Blecker, with all the respect that you deserve, this situation you do not care, and I don't use google translator, I only use that it if I did not know a word in English, that phrase I put it as mockery of Marrovi because he use the google translator. And these attacks are from months ago, I already apologize personally to the user Marrovi.",0
"== Validity of first marriage == 

 I don't understand why LaDonnaMisteriosa has deleted my research into the issue of her first marriage. Historians are still divided as to whether or not there was ever a formal wedding, and both theories deserve exposure. This kind of deletion normally merits a short explanation, at least.",0
Russian troll with problems using correct English?,1
"Uh...hate to break it to you, but the USA is currently being run by an idiot from New York.",1
I heard it straight from the jackass' own mouth. Wake up!,1
"Natives of many countries were travelling on passports of adopted states, so there were people onboard from South Africa (??), Israel (Australian??), Hong Kong (??) and Romania (Canadian), plus some Malaysians and Indonesians holding other citizenship mainly Dutch, the US national is actually native Dutch as well. 175.110.222.144",0
"Elliott Castro 

What stops you from adding the sources yourself? It seems that you just want to be a deletionist rather than improve Wikipedia. You need to get familiarized with Wikipedia's ignore all rules policy. Be constructive, not destructive. You have the option to improve Wikipedia but you are choosing the wrong path and wrong actions. Here, let me help you out. You can also use an online translator such as Google's in case you don't speak Spanish. There's no reason whatsoever to propose a deletion on this article. Ball is in your court.",0
":* Because the overall aim of the project is worth putting up with this for. 
 :* Because there is sometimes some personal learning involved in the topic research, which is itself a worthwhile goal. 
 :: Otherwise no reason. You can put up with the shit if you wish to, it's not usually too onerous. Even the idiocy isn't too painful - you're only required to make the show of being civil to the fools, not to respect them.",1
"""::There's some serious overreaching at this point. NFCC abides by Wikipedia's spirit of creating as much free content as possible, and only using non-free content where it is absolutely deemed necessary. NFCC was constructed with this in mind, not by scientific research that plays no role in these discussions or Wikipedia in general. The event is notable, but this specific screenshot is not. Damiens.rf is right, NFCC#8 is the most commonly misinterpreted point of the criteria. —   

 """,0
"So sad.  Charli's father should be able to say whatever is on his mind during these few minutes which he is allowed to address the court and the scumbag who murdered his daughter.   Heck, if he could kill El Capo with his words, he should be allowed to do so.  Scum should be treated like scum, including anyone defending the scum.",1
"Hi! 

Hi, SG! 134.241.58.253",0
"You're right, the international condemnation of Israel's policies isn't about Muslims hating Jews, it's about most of the world hating Jews",1
"""
WTFWJD?  Scarian, I have to say I am absolutely appalled at your response above.  it is completely uncalled for and I don't think I've seen a more childish outburst from an admin in a long time.-'''' NO! I'm Spartacus!'' """,1
Dont fucking put a template warning on my page and try and insult me like that you stupid fucking piece of shit. (142.162.68.105  ),1
", within the limits provided in the COI guideline,",0
"About your concerns of Scooby-Doo The Dread of Chicago Page 

MIND YOUR OWN BUSINESS!! I am trying to propose an Idea and I can't do it on the Ideas Wiki because of a voice actor obsessed maniac! Please leave the article alone until fans blog it on other sites",1
":::::::::::::::::I'm beginning to wonder if some of you are fucking morons who refuse to make any fucking attemept to understand what others are actually fucking saying. I have absolutely no problem with what topics those interested in religious topics decide are are also of interest to them, including THIS one. My ONLY concern is that your action leads to us having an idiotic list at the bottom of this page that SAYS (even if it's not intended) that this Evolution article is in a category called Religion articles. I know that's not your intention, nor your fault, nor even what it's supposed to mean, but it's fucking happening! That appearance is completely unaceptable to me. (I have now said this many times. DO try a little harder to comprehend this time.",0
