rating,review
2,"As of late, a lot of East Coast staples have been gracing Sin City with their presence. Starting with White Castle, Shake Shack, Halal Guys and most recently Christina Tosi's Milk Bar. People can now enjoy this cult classic at the Cosmopolitan Hotel, their very first store opened in the west coast. Like the ones that have come before, this too have been plagued with cheers and jeers. So how good is this place really? It's up for debate. Personally for me, I give it 3 solid stars. I decided to get the Greatest hits combo $19 to have that variety: 3 birthday truffle, a cookie of your choice (opted for the compost), a slice of Crack pie and a cereal milk soft serve with cornflakes. On a couple of subsequent visits I've tried their passion fruit and chocolate truffles, cornflake marshmallow cookie and chocolate chocolate cookie. None of which blew my mind. They were all fairly good but nothing stood out and not something I would go out of my way for."
2,"Mediocre, at best. The food wasn't exactly fresh. All three times that I've eaten here have proven to be just...meh...despite all of the pastries and the decor. The confectionaries that I've purchased have, every single time, had a stale refrigerator taste to them. There are also many inconsiderate patrons who don't seem to understand the concept of manners (ie saying excuse me when bumping in to you). The coffee is mediocre, as well...they're trying to be a master of all trades...instead, I'd say they're a jack of them all, a master of none. Stick to one thing - you've outdone yourselves."
2,"Let's start off with the positives. Rewind has a really trendy interior aesthetic, and I think their employees are really polite and efficient. However, that's where the pros end. I don't think this place is bad- I just think it's extremely mediocre. Drinks are passable, but very sugary and basic. The desserts are even more generic. There is literally an item on the menu that is straight-up cereal and milk. If this place was super cheap I would be more understanding, but its actually pretty expensive for what you're getting. Overall, not horrible? I would recommend this for a first date, I guess."
3,Churn is a staple; I've been here so many times! I love checking out their new flavors and the very delicious ones that stand out to me are coconut and the hangover helper. All the candies in the store always interesting to look at while you wait in line-- and there's often a line because it's so good!
3,"Love the unique flavors they have available, right alongside the traditional favorites. So rich and creamy!"
4,"Aaand... I'm dead. I must be. I've died and gone to fat kid heaven. Popcorn, pretzels and cupcakes oh my. And free samples of every flavor of popcorn. They have mastered the art of salty sweet with there delectable puffed kernels of goodness. The best by far is dichotomy, it has the richness of Carmel and the savorieness of cheese. It sounds weird but most amazing things do."
3,"Great little ice cream spot in Phoenix. If you're in the area, definitely stop by. You can tell whoever makes the ice cream is also a BIG cereal lover because a lot of their flavors are cereal flavored (and include some cereal chunks!). I ordered the cookie wasted (oreo+choco chip cookies) and Cap n crunch berries. The cookie wasted was the better of the two but the cap n crunch really did taste like I was eating a bowl of cap n crunch. When I'm in the area again I'll definitely stop back in and try some of the other flavors. The staff were very friendly and had great personalities."
4,"Holy heaven! From the moment we walked in I was blown away. They insisted on a sample of every flavor to help me find my ""frozen soul mate"", and then scooped me the best butter pecan ice cream side of the Mississippi, plopped it into a specially made warm glazed donut bun, and topped it with Cinnamon Toast Crunch cereal. We didn't stop there though. A fresh pressed waffle sandwiched my honey lavender ice cream with fruity pebbles on top! Over the top? Absolutely! Worth every delicious bite? You betcha!!!"
3,"I rate frozen custard places on one criterion: chocolate chips. There are innumerable ways that you can have a concrete and the superior combinations involve something-CHIP (I use the blueberry-chip as a litmus test). On the one hand, inferior custard stands will throw in a handful of actual chips, or the mini toll house chips, something like that. They do that because they do not respect us enough to think that we care. Culver's and DQ, I am talking to you (they are not even real custard stands, but sadly, that is all that most people will ever know). But if you do care, then you know that the way to -chip a concrete it to put a layer of the hard-shell chocolate topping into the middle -- the effect being that when you blend it the custard is infused with tiny little frozen shards of chocolate goodness. If the custard stand respects you and your highly developed tastes, they will serve you that way. Jarling's does that right, and earns my Champaign loyalty. That is all there is to know; the custard is good, it would have been five stars had they used fresh blueberries, but it was the first hot and humid night of the year so they get something of a pass. So glad that summer is back...."
1,"I ain't gonna lie, I had high hopes...but was let down! I saw the long line and thought oh this must be good! Not so much...it was just average, not sure if the quality was lost in the transfer to Las Vegas. When I go to New Jersey, I'll have to try the original. But for now the Las Vegas spot missed the mark. Then you add in the high prices they charge, and ouch that makes it hurt worse! :("
2,"Make sure you go to Bouchon Bakery during the week. The food seems to be made fresh daily during the week, but the weekend seems to be leftovers from Friday's batch. We went on a Friday AM and a Saturday AM and the quality was vastly different. The beignet on Thursday was the best I had ever had and the cheese danish was fantastic. On Friday, the danish and the brioche were both very subpar."
1,"Came here on Tuesday. First time. The ice cream was GREAT, the location is good, & the place was over all clean! My only issue was.., they had maybe 6 people working because they CAN get very very busy. This time, around 5pm on Tuesday they were not very busy so some of the people working were just standing around. (Which again, Idc not a big deal) my friend & i ordered our ice cream & sat down on the bar stool area that faces inside the ice cream shop. One of the employees took a taster spoon and samples a flavor, ok nothing wrong with that. He then used the same spoon and dipped it back into the ice cream to take another sample, so double dipped into the ice cream he was serving the customers. I continued to watch him & he did this TWICE! SAME SPOON!!!! NOT sanitary & I'm not sure they should even be eating as customers are walking up to order . Makes me think twice about coming back. If this is happening right in front of customers, whats happening behind the scenes ? (granted, because we were sitting outside facing the inside of the store, maybe he didnt think anyone was watching?)"
4,"The BEST ice cream in AZ!! It is tasty, fresh and soo DELICIOUS! Their donuts pair perfectly with the ice cream (donut sandwich), and they have a lot of flavors of ice cream. Floats are made with your choice of ice cream and your choice of soda. A must have when you are craving and need your sweet tooth fix!"
1,"We have a sprinkles in Dc and I am not impressed with their cupcakes but after the high roller ride my hubby had a sweet tooth. The shop was packed but not cramped like in DC. There were not many cupcake flavor options maybe 4-5 different ones. My husband got the banana cupcake and thought it was good. I got a vanilla with sprinkles and it wasn't good at all to me. I am giving them a two because we had small talk with the employees and they were really friendly. The shop was also clean and not cramped. There are a few tables inside and outside for customers. Sprinkles is located in a cool looking newly renovated alley area that takes you to other restaurants, shops, and the high roller. Like I said I'm not a fan of Sprinkles but maybe others enjoy their brand."
4,"My husband and I were waiting in line for Eggslut and needed pre-breakfast. He went to find us a snack and came back with a Momofuku chocolate cereal milk shake and cookies - yaaas! The milkshake was one of the best milkshakes I've ever had in my life. It is thin - more like melted milkshake but the flavor is outstanding. We like it so much we went back two more times over our stay! For the cookies we tried the compost cookie - awesome, chocolate chocolate - just okay, actually kinda gritty, and of course a slice of crack pie. Crack pie is kind of like a pecan pie without the pecans. It is aptly named as you will crave more as soon as you're done. Each time we went there the people working were fun and friendly and the lines were never real long. Momofuku Milk Bar was a food highlight of the trip for sure."
4,Had quiche for breakfast. Very moist and flavorful. The dark roast coffee was smooth with no bitterness. We returned later that night. The line was incredibly long for late night sweets. I had a delicious key lime tart. A perfect blend of sweet and citrus tart. A wonderful dessert.
3,"What's the WiFi password?? Love this place because it is right next to the social Work building, where I have most of my classes. But I NEED THE WIFI"
4,"I went on a multi-ice cream shop tour of Cleveland. Out of the five different ice cream shops I visited, this one was the top. The ice cream was delicious, smooth, and amazing. It was the most special of the places I visited and the only one I visited twice on my trip. Yum!"
4,"This place has LAVENDER HONEY ice-cream, which in itself is a dream come true, BUT THEN they stuffed it inside of a warm, fresh donut. Oh my lawd. Do yourself a favor, or should I say FLAVOR, and go. Next time I will be trying the Leslie Knope... Go check it out."
4,"Delicious and adorable! (The ice cream shop, not my daughter). Plenty of choices and incredible toppings. Super friendly owners makes me want to come back again soon."
2,Let me just say- the marshmallow wasn't worth the cost. I was here last Saturday night and being new to the area found this place on yelp. I couldn't wait to try this yummy marshmallow dessert and was disappointed. When I arrived around 7pm there was only one worker. She was very quick with everything she did (kiddos) about ten minutes later another worker came in. Altogether it took 20 minutes for my boyfriend and I to get ice cream. The ice cream tasted very good but my marshmallow was overly toasted and ruined it. It wasn't worth puff over a dollar for just to be tossed in the trash. But the 3 stars is for the ice cream which alone tasted good.
3,"I was fortunate enough to visit Carlo's bakery without the long lines (I went close to closing). We ate lobster tails probably everyday of our 4 day trip, they were so so good! The cream inside is amazing and the dough is flaky and just the right amount of sweetness. We did not try anything else, but I highly recommend the lobster tails."
0,"My daughter ordered the mint chocolate chip in a cup. I ordered vanilla. Mine had a sour taste to it. Like spoiled milk. I had her try and she said it was awful. We threw both of our desserts away. Not sure if the sour taste is their ""thing"" or it truly was spoiled. Either way, we won't be back"
4,"Typically I save all my empty calories for beer, but their glazed donut is well worth the years off my life LMAO"
4,What a fun new idea. It reminds me a lot of Milk in NYC. The ice cream is really Fluffy and enjoyable and has a really nice taste no matter the mix in you get. We got the lucky charms and really enjoyed it! I'll be coming here again for sure. It's my favorite place to get ice cream in Phoenix at the moment.
2,"The donuts, on the whole, are good, but not deserving of the hype. Service was crappy, and I see I am not the first to point this out. Three employees working and none bothered to even greet me. Selection was: this is all we have, deal with it. On a positive note, they are no longer cash only."
3,Hate when i end up here spending 35$ for a croissant and coffee. $15 for some coffees and pastries and $20 Wheel of Fortune tax.
4,Awesome!! Even better they have a 24 HR ATM we have only been here for two days and both days it has been a must!!!!
4,"I have always been a Matcha lover but my wife always turned her nose up to it. Well not only does she love Matcha Cafe MaiKo, but she got everyone in the family gift cards for Christmas! I had my first taste this weekend. I had a swirl of matcha with black sesame and a latte. Both were very good and the latte was crafted with care. The service is amazing and friendly. The options and a description of all the choices were given as well as her personal preferences. I was offered samples of everything as well. This is a great addition to the area and I can't wait to go back."
4,Everything is made fresh and you won't leave disappointed. There's also a dog bowl outside for pups on walks on hot days
4,"I am surprised I only visited this place once when the elevator to our room was directly in front of this bakery stand! Of course, on our first trip there, I ordered a bunch of sweets to last me the weekend. I was happy with everything I ordered - the strawberry rhubarb pie/tart, the strawberry croissant, and the carrot cake cream cheese sandwich cookies. I took a bite of the valrhona chocolate cupcake and it was very delicious. I wanted to buy a ton of the carrot cake sandwiches on the way back home but I kind of knew I'd eat them all at the airport so opted not to."
3,Flavors will not disappoint. Quite expensive and staff can be a bit aloof. Vibe if you eat in is sublime.
4,"What more can I add to the already sufficient reviews left for this fine establishment? Relatively new to the Ohio City scene, the fact that it's already synomous with the neighborhood is a testament as to how truly beloved Mitchell's is. Clevelanders are all about anything local, so by nature Clevelanders are fiercely loyal. But real talk, it's clean, spacious, friendly - Willy Wonka himself would be proud! Ice cream flavors for days! Go treat yo self to a salted caramel milk shake. I know I'm gonna!"
4,"I have been here so many times, and they never disappoint! I just stopped by this week to pick up a pint of my favorite flavor. I will probably never go to another chain ice cream place again!"
4,"Love Handel's. Been coming here for a number of years! Definitely much needed during Vegas summer as well. A wide variety of assort flavors and option types that are always changing. Better stock up on your favorite flavor because you'll never know when it'll be back! Sometimes they're understaffed and the line gets backed up so you may just have to learn the times that it won't be busy if you don't want to wait long. All in all, I Definitely recommend it and support them all the way!"
4,"Slight disclaimer, considering that it was Vegas in June. But this place was better than advertised. I'm a life-long ice cream man, and I have tasted some good stuff. This was the best I've ever had in Vegas, hands down. Tons of different flavors to choose from. Almost problematically so, because every flavor is equally great. They do a 4-flavor sampler which is a great option, because then you can become addicted to multiple flavors, rather than just one. It is a slightly odd setup. No interior seats or tables. You walk-up to the window and order and pay right there. Not a problem, just different, that's all. We found it because some lady on Family Feud said it was the best. I will definitely be going back, but I wish they had more locations in Vegas. This one is located a long way from everything in Vegas, and could be more convenient."
3,"I have only been here once but the ice cream was delicious. We got one scoop of ice cream and a cookie sandwich. This place was packed with people but the employees know the drill and got everyone through the line quick. Ice cream was delicious. Very rich and creamy and the peanut butter cookie that went with it was probably the best peanut butter cookie I have ever had. If you have a sweet tooth or looking for some post dinner dessert, this is your spot!"
2,"Okay, so I absolutely LOVE ice cream, and I was a little disappointed with Handel's. The ice cream was great, but the customer serivce leaves much to be desired. So Handel's offers a large variety of flavors to choose from. Not only that so many different ways to have your ice cream too. It's a bit overwhelming but in a good way! Also, they are cheap either! This is a walk up place so don't expect to sit anywhere besides the benches. They make ice cream from scratch and you can tell from the flavors and textures. It's smooth and not icy like something that's been sitting and refrozen like other places. Their ice cream really leans on the side of frozen custard. I chose the Oreo Cookie Sandwich, which was okay. But I really enjoyed the Butterfinger Twist, which made every bite come to life. My brother ordered a Milkshake and he feel absoulty in love with it after the first sip. Over this is a good place, but I wish it wasn't so far away, and the customer service was more friendlier."
3,"Delicious cupcakes, a little pricey but worth it! We got Red Velet, Salty Caramel, Chocolate Marshmallow and Vanilla Milk Chocolate. A must go to place if you are in the Linq area."
2,"Hoboken, BABY!!! I was driving by and saw that Carlo's Bakery is now at the Venetian. After watching many seasons of Cake Boss, I was contemplating if I should order some of their goodies and have them shipped over to me. However, I can scratch that idea since there's a shop at Vegas. Inside Venetian, I have to say it was hard to find. There are signs everywhere, but nothing pointed to where they are located. When I did find it, it was like stepping into this store over at Hoboken, New Jersey! They did a great job decorating their store to look like their original shop. There's a line before you can get into the store. However, you can browse at their selection as long as you are behind the red velvet rope that separates the on lookers and those who are actually paying. When I was there, Friday around 3pm, the wait in line was only 15 minutes. When I finally got to the display, I ordered the cannoli and lobster tail (I couldn't order too much because I was on my way to Bacchanal for dinner). Buddy claimed that these were one of his top items! The cannoli...I enjoyed them, but that's because I like cannoli. Here at Carlo's Bakery, I didn't find them any special, but they were still good. The shell had a nice crisp. The cream was semi-sweet, the way I like it. The lobster tail, on the other hand, is not something you'd find at many other Italian bakeries (as far as I know). It was made of a large shell, somewhat shaped like a lobster tail. It was stuffed with more cream. I was glad I ordered this because I've seen this many times on his show, but I didn't enjoy it. The shell was too thick and the cream was too bland. I wasn't sure what I was tasting! My total was just under $10 for 2 items. Overall, I am giving them 3 stars. It was fun to be there, but I didn't find anything special. It was just overpriced baked goods. If you're a fan of the show, then I'd recommend checking it out once because the shop in Venetian is modeled after the original location. I think I would have been much better off at Bouchon Bakery!"
4,I was shocked to see how incredibly understanding and compassionate the staff here were. The ice cream is hands down the best in Vegas. Thank you for your hospitality and kindness.
4,"Donuts...food equals memories. One of my favorite stories from growing up was when my father would let me go on his bread route with him. He was a driver salesman for a local bread company. And every time I would ride with him we would stop at @jackfrostdonuts in Parma. Consistently rated number one or number two in Cleveland, these are by far my favorite cake donuts. Be sure to check hours and follow them on social media because they do sell out frequently. Today I picked some up for one of my clients. Although one magically ended up in my belly also"
3,This was our first visit to Milk bar and overall we had a good experience. We ordered the greatest hits so we could try all of the most popular items and we also got a special knights milkshake. I was shocked (in a good way) at how good the cereal milk soft serve was. My boyfriend adored the knights shake but the taste of the scotch was a little too strong for me. The reason we gave it 4 stars was due to the fact that the space is really small and crowded which made us feel awkward and rushed. The line even on a Sunday evening was really long. Although it did move fairly quickly.
4,Up there with the best ice cream I've ever had. Highly recommend the peanut butter fudge sundae - HUGE portion and they do not skimp on the toppings. Will definitely be back!
2,Overall the donuts were inventive. We love donuts and try all kinds when we travel. These donuts were on the dry side. They looked delicious but lacked with taste. Gimmicky.
4,I was so upset when I walked down the Linq to get one of my favorite cupcakes last night and found they are closed . I wish I would have bought one from the ATM at the airport when we flew in. Are you located anywhere else in. Eggs?
4,This is probably my favorite ice cream store in Phoenix area. Attentive staff and really nice and clean dining area. Definitely will come back with my friends to try different scoops.
4,"ernahgawd the reviews are true. seriously, one of the best macaroons I've eaten! and they had this peanut butter cookie, yum!! i wish this place opened at like 5 am after i left the club. i'd be eating this or noodle asia in a heartbeat"
2,"I had the turtle sundae and loved every bite, but I felt like I should have gotten more for what I paid. I added on a toasted marshmallow on top, which was also scrumptious. Even with the smaller size, it was pricey."
4,Good And it the best I've cream in the world and you have to try the ice cream it is very good and tasty
1,Very disappointing!! The quality has gone down hill ever since they got popular. Almost every donut in the box this time was dry and stale. The famous creme brÃ»lÃ©e donut barely had any cream. It's especially disappointing since this place is supposed to be top rated. I think they need to focus on their product and not their trendy appearance.
4,Atmosphere was great. We had a sandwich and something to drink. The food was delicious. Our bartender Ryan was great. It was a great lunch
4,A quaint independent ice cream shop located in downtown Phoenix. The area isn't all that great but don't let that fool you! Street parking is available for a max of 2 hours. There was a guy working there who encouraged me to try literally every flavor they had. I ended up getting the coconut ice cream. Super rich with fresh coconut flakes. Was stuck between that and the cucumber flavor which would definitely hit the spot on a hot summer day. Highly recommend!
2,"For me, this place is A-ok because I'm not a big sweets person and the baked goods are a little over priced, but it's a great place to hang out with friends."
3,Delicious! I love ice cream!! This place is delicious. I have been trying to find a good place for a milk shake and this is my new place. Every flavor I have tried has been great and haven't been disappointed. Whoever is complaining about this ice cream being too sweet is silly! Uh you are eating ice cream dumby! Ice cream is supposed to be sweet. I will come back because it's good. The line doesn't move very quickly because there is only 1 or 2 people working at a time.
4,"Simply very good ice cream. A wide variety of flavors, excellent size options and very good prices. The servers were welcoming, offered advise and quickly transacted our purchase. Just a very nice experience following our trip to Red Rock Canyon.."
4,Amazing!! Great for vegans and omnivores alike! I had cucumber and sweet tea sorbets and I was very impressed. Great service and creative presentation. Will be back!
2,So the quality of the product now vs when it first opened - has changed a lot. I ordered 7 lobster tails & they were shaped like very little effort was put into it. Also the filling was less creamy more of a lemon cheesecake filling. Anyways send Carlos back to re-train / refocus on the quality. Then i can feel like it's worth waiting in the for - like it used to be.
3,"Great customer service! The staff was knowledgeable and very open to helping us decide which treat to try. I wish they had more ice cream and cookie flavors, but I did enjoy my cupcake sundae."
2,"We were so excited to try Sprinkles because we were staying by the Linq and knew it would be a short walk. I had heard so many good things and wanted to have what was considered the first cupcake bakery. We arrived and realized that location had closed and when we went onto the website, it showed a google map of what we thought was the new location. It currently shows a location in the middle of the road between the Hawaiian Marketplace and Aria. There is no storefront from what we could gather, only delivery. We ended up using the Sprinkles ATM at the airport on the way home and it was a typical bakery cupcake. I think we would have been more pleased if it would have been a storefront with the specialty flavors but that's all we could get our hands on at the time."
3,Delicious cupcakes. Excited they finally opened one here in Vegas. This location as already mentioned in other reviews is located at the Linq. We stopped by on a Friday night. It was quite busy as one can imagine. The ice cream section was busier than the cupcake area. I got one cupcake (black and white flavor) and one doggy cupcake. Mine was delicious and I can tell my doggy enjoyed his as well. I will most certainly be back. Only docked off one star because it's not the most convenient of locations to get to.
4,The double chocolate ice cream is INCREDIBLE!! I was blown away!!! My son and I shared the S'mores Sundae and it was so very good! I just wish they had more locations! (Like please come to Utah!)
4,Absolutely LOVE this little shop! Everyone is so friendly and kind. And can we talk about how yummy the donuts are?! They never disappoint!
2,"Timing is everything! Got there and no one in line. Ordered my slice of Crack pie and blueberry & cream cookie, paid, and turned around and there was a line of 7 or 8 customers. I do enjoy the crack pie & that cookie, but the price. It's just as well this is the closest location for me & I'm rarely here. Food is 3.5-4 stars, value is 2 stars."
3,"Phoenix and its large abundance of ice cream shops, Churn rates high in the cutesy scale. Small in size, it appeals to me since they have good ice cream as well delectable sweets. I love their assortment of cookies and bars. I like that you can make your own ice cream sandwich, and that it's encouraged. I've been here numerous times but I would like to highlight the professionalism of their staff when accommodating my niece who has a peanut allergy. They made sure to rinse the ice cream scooper as well take out a new tub of the double chocolate ice cream, in order to ensure that there wouldn't be any contamination whatsoever. I commend the staff for doing that extra step. bravo. Anywho, if you plan to eat at the ice cream shop, there are tables in the back patio, and since there's lack of parking, complimentary valet is offered (no need to risk your life crossing busy central ave. by parking across the street)."
3,"I am always trying to find a good spot that sells unique and great tasting desserts, and I have come across another gem by searching through Yelp. I came here recently a little after they opened up. I got the carrot cake whoopie pie, the chocolate chunk cookie, and the banana nut muffin. I enjoyed everything I ate, almost to a level of frustration for not knowing about this place sooner. The banana bread had so many nuts in it with a nice flavor of banana. The chocolate chunk cookie lived up to it's name sake with big pieces of chocolate in every bite, it was also really soft on the inside while having a crunchy outside, just how I like it. The best thing I ate was the whoopie pie. I am a big fan of carrot cake, and this whoopie pie hit all the notes of a great carrot cake. It was soft, moist, right amount of nuts, a good spice cake, with a good amount of great tasting cream cheese frosting. My only complaint was that while everything was still soft, it all had the same taste of ""not made today"". Nothing was full blown stale, but I could tell that everything I ate was from batches that was rotated to the front of the case. Next time I plan to come, I will see if I can get their baking and delivery schedule. I will definitely be back to get the same stuff I got and try more of their selections. I will be adding this establishment to my dessert rotation, and I would recommend it to anyway."
3,"great little place to get yummy pastries and coffee/teas. Got a couple kouign amanns, a chocolate croissant, a macarons during our stay. Good stuff, not the best, but the convenience of the location is a definite plus when staying at the Venetian. The macarons were very yummy. I think the almond/chocolate croissants at Jean Philippe Patisserie are better. I enjoyed the Chai tea latte, husband thought it was too sweet but i enjoyed it!"
0,"Ordered the chocolate cupcake and one of the worst cupcakes I ever tasted. Over-cooked and $4. I forced myself to swallow my only bite and threw the rest away after my girlfriend tried a piece and had same reaction. Big disappointment, don't waste your time or money!!!!"
3,"Great variety of flavors, but donuts aren't labeled on the shelves and the only way to know what flavors are available is to watch a screen that slowly flips through them one by one. Great donuts though!"
