Score,Text
2,"Just received my 3 pack of the San Fransisco Bay one cup for k-cup. It was delivered as promised, arrived a little crushed, but with no damage to product. I prefer a strong brew of coffee, so it tasted a bit weak for my preference. I really didn't think there was anything special about the small bit of flavor it did have. I will try it again with a smaller brew setting... Keep in mind I love espresso so I'm a hard core coffee drinker.<br />I loved the non-plastic design, and it actually fit in my Cuisinart k-cup brewer even better than the regular k-cup! I think the design is the biggest plus because it also makes the price more reasonable. I might try this brand again, but will definitely see if they have a bolder brew."
3,"We purchased this Soup Basket for some friends that are always on the go, and find hard to leave work for lunch. They truly enjoy the soup, and she loves the design on the soup cups.<br /><br />Thank you,<br /><br />Happy in Northern California"
0,REally wanted to like this but it has no taste.  Now I am stuck with 4 canisters.
1,"I ordered the ""Better Balance"" Protein chips that were shown in the picture.  When I opened my shipment it was for a different type of protein chip that does not taste nearly as good.  Very dissapointed!!"
3,"This one is better than the Lipton Citrus drink mix. But then just about anything is better than that. I have tried several of these beverage mixes over the last couple of months and this is one of the few that I will be buying  again, It has a clean crisp flavor that the other citrus flavored mixes miss.<br />  Of all the different brands that I've tried the Crystal Light is the one that's the best. Some of them are a bit on the sweet side and used in a 20 oz bottle instead of a sixteen is better.<br />  Overall I prefer the Rassberry or Cherry flavors over the Citrus but for something different I'd choose this one."
4,"I used to spend a fortune on good Chai Tea at the coffee shop.  Then, I discovered the double-spice tea.  We both loved the stronger flavor of the spices.  To my dismay, on my next trip to the grocery store, the double-spice tea was nowhere to be found!  It was one of those items that apparently wasn't on their regular ordering schedule.  I looked it up on Amazon, and, there it was...six boxes at a time, on subscribe and save, a decent price, and quick delivery!  This tea is great with a ""sweetener of choice"" (I generally use stevia or agave in mine) and some milk or cream, hot or cold.  My hubbie drinks it with no additions at all and it is his ""pre-sleep"" tea of choice.  I've also used 5-7 bags in my iced tea maker and the result is yummy iced tea (or, add just a bag of this tea to regular tea for a hint of spice).  Stash teas are great overall.  I like the fact that they are individually wrapped in a ""foil"" wrap that holds together well and can be taken to the office or wherever without dissolving in one's pocket or purse!  It IS black tea and contains caffeine!  If this is a problem, try the Good Earth Original Caffeine-Free tea.  Also available on Amazaon, it is a delicious, slightly sweet, cinnamon-y tea!"
3,Otherwise great. If you're a saltoholic like my husband you'll love these. I got these for the kids' lunchboxes but ended up not using them for that because of the salt.
4,"So far we have tried vanilla, oatmeal and chocolate chip varieties of Barbara's Snackimals and like all of them.  Ingredients are quite good and per bag price is very reasonable--even more so on auto-delivery.  Large 2+ ounce single servings are quite satisfying when you want something slightly sweet and crunchy with only 120 calories and modest fat content. The only change we have made to our auto-delivery schedule is to have them shipped more frequently."
4,"I have a two-year old Jack Russell Terrier and she loves Newman's Own Dog Food! She ate Beneful for a year before switching. This goes down much easier. She doesn't each eat it ""just because she's hungry""; she actually likes it! I highly recommend this product and would consider giving any dog nothing less!"
4,"This Snickers product is Awesome! You definitely forget that this is a nutritional protein bar. Not only does this product contain 20 grams of protein & taste great, but it is great to eat as a snack or when you are on the go. The only downfall is that the product sells out very quickly so I would suggest you buy 2-3 boxes at a time to be on the safe side."
2,"My dog seems to like this just fine and dandy. She's happy to eat it but I don't like the fact that it is so mushy. She's not a big dog and it takes her forever to lap the food up. Yes, I know, it's probably good exercise having to work to eat her food but I don't like to have to work to eat my food so I don't want her to either."
4,These are not as hard as the wheat version (wheat version is a better starter biscuit).  These crumble nicely in their mouths and my daughter loves it!
4,"Teccino is such a great substitute for coffee. It is delicious and gives you the motions of brewing, pouring and enjoying a hot cup of brewed coffee without the negative side effects."
2,I was not impressed with these bars.  I actually bought them by mistake.  I thought I was buying the ones with nuts.  I wouldn't buy them again.
4,There is no other 'Earl Grey' that comes even close.  Whether hot or cold...VERY Refreshing!
1,"The bottles I received with my order were much lighter weight plastic than any other Smart water I've ever purchased. It was difficult to even hold the full bottle without water squeezing out the top and splashing around. I don't know whether all Smart water has now changed to this packaging, but I don't like it. It made me wonder whether it was ""fake"" somehow.<br /><br />But at least I got a nice supply of the sipper tips!"
4,I took the first package as a straight soup.<br /><br />It really packs a flavor punch!  I can see this would make excellent gravy and such.
4,If you are corn or gluten intolerant like I am this is the product for you.  I am very sensitive and this product has worked out wonderfully. Their brown sugar is also corn and gluten free. Only draw back is the shipping.  Try getting the smaller packs or getting Amazon prime if your going to use this regularly.  That may save you cause the price for the product is right but the shipping is tough. As with any recommendation any manufacture can change what they do.  I hope these guys don't but I as a responsible corn and gluten victum would say double check with the manufacture about this product before you buy as of Christmas 2010 it was corn and gluten free.
1,"I just recently switched to a gluten free diet and boy was I highly disappointed. I ordered this soup based on the comments of other users stating how tasty it was... don't believe the hype. It's quite disgusting.  First off, it's not set in broth but more of a creamy substance.  It was very salty so beware if anyone has high blood pressure.  The chicken bits tasted like rubber which I had to throw out... I guess for people who are solely on a gluten free diet, they don't have that many choices... thank god I'm not one of them.  I even gave some to my mother-in-law thinking maybe it's just me.  She didn't like it either.  I'm going back to my normal Campbell Chicken noodle soups."
4,This is the best herbal tea I have ever tried. It has a unique flavor that I'm not sure how to describe - maybe sort of floral with a hint of anise - the perfect blend as far as I'm concerned.
4,Tasty mix of sprouts.  Easy to grow.  I keep them in the freezer and expect this bag to last a very long time.
4,"really like this organic green tea - tastes a little different from brand I previously bought, but I like it!"
4,"Magnesium is vitally important on many levels.  It not only helps your muscles to relax, but also aids sleep and allows for a more calm & balanced state of mind. Low levels of this mineral make nearly every disease worse, whether you are dealing with asthma, diabetes, depression or cardiovascular disease. It  assists in the assimulation of calcium & potassium, so those with osteoporosis concerns should be looking to include Magnesium in their supplements.<br /><br />I have been using Magnesium Calm for the past year and have found it very helpful for relaxing muscle tension, & getting a good nights sleep, not to mention its calming effect on my state of mind ! Its easy to take and comes in several flavors as well. I recommend it to many of my massage clients, so they can decrease the pain and discomfort in their bodies."
4,"This is officially my new brand of Oolong Tea....Wonderful aroma and fantastic flavor.  Try it!!  For Green Tea, try Kirkland Authentic Green Tea with Matcha...also fantastic!!  Got to find me a good black tea and white tea, and I'll be set!!"
3,"I bought this cat food because my cat had recently been diagnosed as diabetic.  The first, and recommended, action to take when hearing such a diagnosis is to immediately change your cats diet to a wet food only, low carbohydrate diet.  I did my research and found Wellness Core to be a good option because it was grain-free and was composed mainly of protein.  Upon doing more research I discovered that some of the original Wellness canned cat food (non Core) has a lower carbohydrate count, and a slightly higher fat count, than the Wellness Core pictured in this review.  The whole point of changing my cats diet was to lower her carbohydrate intake so as to (hopefully) lower and stabilize her blood sugar.  I (ultimately) spent more money on food that had a higher carbohydrate content.  Beyond that, the food is seemingly of good quality.  My cat liked it however only AT ROOM TEMPERATURE.  Once refrigerated, the food didn't quite seem to capture her attention as much.  My advice:  Wellness Beef and Chicken Formula.  Lower carbs, higher fat, and 1% lower in protein count (big deal) and cheaper."
4,"I was turned on to J. Wilbur at local Bar and Grill - Wow good stuff and they now use all J. Wilbur products at this bar.  Good Stuff, think I will have a bloody mary there this afternoon and soon to order some more on amazon.<br /><br />Good Stuff - I recommend...."
4,"I love wasabi....and these almonds are AWESOME!  They taste better than any other ""flavor enhanced"" almonds on the market."
4,I am very pleased with the Stash tea I purchased.  It was a VERY good deal & the quality is excellent
2,"Even though it says it's a medium roast, it's more mild and weak flavored. Would definitely have to use more pods to get better flavor. My son also tried it and used 2 pods for a 16 oz to go cup. He agreed it was weak but also commented that it had an odd flavor note to it."
4,I am addicted to Heritage Os...  Crunchy and not soggy... keeps me satisfied until lunchtime. The problem is that my grocery store doesn't carry them. I have to order online. I won't stop this obsession... they're all that!
0,The item description is deceiving. This is really isn't coffee it's more of a glorified hot cocoa.  Very dissapointed. Can't even drink it.
4,"My wife and I enjoyed our cafecito, cafe con leche, cuban coffee when we lived in Miami. Cafe Bustelo has rich full flavor, great aroma and did I mention fresh? When we left the sunshine state we still had the need for our Miami fix. The local groceries including our local Walmart sold Cafe Bustelo, but they didn't have the value the larger 36-Ounce cans do. Shipping costs included, this was an easy."
4,"This tea is delicious.  I drink it cold every day in the summer, so buying in bulk made perfect sense for me. The package arrived in good time and was packed securely. Will be buying ths again."
4,"I use this marinate mainly for chicken and flank steak.  When I come home from the supermarket I cut a flank steak in half and place the steak in a freezer bag along with the marinade.  Then when I want to use it I take it out of the freezer, let it thaw and place it on the grill.  It makes the best flank steak ever!"
4,Re: Vo-Toys Beef Munchy Stix<br />These are the same dog snacks that sell in Shop Rite for $2.49 (+ tax = $2.66).<br />Order 30 packages of ten and pay just $1.42 including shipping.<br />Save another 3% by charging to your Amazon.com Visa Card.<br />Final cost per pack = $1.37½ compared to $2.66 at your super market.
4,"My dogs go crazy for these treats.  Zuk'es Mini Naturals Dog Treats are the only treats I order for my dogs.  All natural and small enough to train your dog, if needed.  Just perfect!"
4,My dogs love these chews.  When I got home from work my two dogs had eatin the chews right out of the package.  The mailmen left the package on the front lawn and my dogs took the opporunity to help themselves to the whole package.
4,"I had this chai tea at a local restaurant and loved it.  After searching all over for it I finally found it here at Amazon and was quite pleased. Though I think it is a little expensive, I haven't found any quite as rich and satisfying.  One caution is that it's fairly sweet and higher in calories and saturated fat than I wish it was, but the taste makes up for it."
4,"I love the smell of this stuff. My husband and daughter are usually the ones drinking it and it always makes me want another cup of coffee, so I can have some of that good smelling stuff! It tastes great, too, by the way. An all around win. :)"
4,"This is one food that when mixed with their dry food, my dogs will eat every last drop. They love this. Our older dog (just turned 2) needs to be on a grain free diet, so that is what our puppy gets too. I love that this is 95% Turkey and that the dogs really like it."
3,"I guess this worked ok. I didnt see very many fleas in the trap, so maybe I didnt have a bad infestation, and did use another spray product in conjunction.<br />If anything, it doubles as a nightlight!"
3,"With so many places along the USA coastlands why does the Miller's use a product, though a delicious product, from Thailand?"
4,We just love this coffee it has the best taste of all the k-cups we have tried.  It's a little pricey so we only buy it once in a while.
4,"I eat very little sugar and no unhealthy oils. I just found these at the market and have eaten two small bags in just a few days. They are very delicious! My teen daughter loves them too. I would not, however, pay the price charged by Amazon and hope this product becomes a ""subscribe and save"" item soon. I definitely need to purchase this in bulk-- it's a snack I can give my family without feeling guilty. LOVE these!"
3,"****<br />Stash's Wild Raspberry Caffeine Free Herbal Tea is strong and fruity, great if you love the taste of raspberry and hibiscus, which I do. It contains hibiscus, orange peel, lemongrass, rosehips, natural raspberry flavor, licorice powder, and citric acid. The package says it also contains soy, but that makes little sense to me---but everyone should know this in case they are allergic. It is a fine tasting herb tea.<br /><br />If you like a more subtle tea, you may not be crazy about Wild Raspberry. But if you like Celestial Seasonings and other commercial teas, I think that this is a good one. The reason I gave this tea four stars instead of five is that it isn't as pure as it could be (contains additives and flavorings) and I can tell. I prefer a more subtle tea. And I save five stars for the very best teas I've tried. But for those of you who like a lot of flavor, and don't mind a few additives, it's just fine!<br /><br />This 100 count box is an economical way to enjoy this tea; however, I would try it first in a smaller quantity to be sure before you go for bulk!<br /><br />Recommended.<br />****"
4,"These are raw cacao beans.  In the little papery shells.<br /><br />You may not like the taste of them - the little papery shells on the outside are particularly bitter, but they hold the bean intact so they are necessary.<br /><br />For me the bitterness is a good thing.  Because I keep them in the car as an emergency caffeine source.  Unlike diet coke they don't freeze in the winter and pop out of their container, making a mess.  Unlike chocolate-covered espresso beans they aren't tasty enough to tempt me into overeating them.  In short, they are a caffeinated ""snack"" that I can put down after I've had enough."
3,"This is pretty decent gf gravy.  A little bland as is, but even a mediocre cook such as I can manage to punch up the flavor.  Good consistency and easy to make."
1,"I initially gave my dog Greenies, which he went CRAZY for, but then I panicked when I heard about the deaths that had occurred years ago (before their new safe formula), so I tried these. At first, my dog would chew them, but we're on Bag 3 and now he refuses. They are just not good-tasting enough, at least for my picky eater. :(  I'm going to trust that Greenies are safe now, so back I go!"
4,"I decided to switch my cat's food because she was having all kinds of problems:  excessive throwing up, urinary tract issues, and significant weight loss that the vet couldn't explain.  I switched her from Kirkland dry and Friskies Turkey Pate canned to Wellness dry and Wellness chicken formula, and it's been almost an overnight miracle.  She's put on at least a pound in 3 weeks (she eats an entire 5.5 oz can plus dry food every day--no more pushing the food around and not really eating), no more straining on the litter box, and she hasn't barfed in over a week!  I'm really impressed at what a difference this food has made for my cat's health."
2,"I purchased the Coombs Family Farm's Maple Syrup like I always have done.  However when I opened it, the  top was covered in  green mold.  I used this time to educate my son on famous molds.  One in particular was mold that makes penicillin.  Penicillin had been discovered years before, but when WWII came it became very urgent to find a mold that produced penicillin in a very high concentration.  So the research was being done In Peoria, Illinois and all the housewives in Peoria were instructed to bring all there moldy food to the lab. It was moldy cantaloup where the important mold was found.  I don't think the syrup was growing a mold that produced penicillin-no it was just plain gross.  The syrup was not that old so maybe I will look at other syrup."
4,I've loved Dark Magic since I discovered it shortly after buying my Keurig and it is my favorite.  Recently I decided to try decaf and ordered this coffee.  I absolutely love it and it is still my favorite.
4,"What kind of wife would I be if I didn't have some of my husband's favorite foods to serve at his birthday (this Tuesday) and Christmas?  Since he is British Thanksgiving is rather overlooked as a major holiday for him.<br /><br />As we live in a rural area a trip to an Internationally stocked grocery store is like a trip to the moon, plus the surprise element would be gone as he would insist on accompanying me.  Amazon gets rid of all the fuss and bother, PLUS is was Prime so it arrived in 2 days at our doorstep. This means I can maintain the surprise element as he is not allowed to open any Amazon boxes from Oct through Christmas.<br /><br />Growing up in Britain these shortbread mincemeat tarts were a delightful staple at holiday time.  They really are delicious! Since I was able to order 3 boxes in a single shipment he is set for his birthday and Christmas.  He may even enjoy Thanksgiving more this year when he has his favorite holiday tart!<br /><br />Happy Birthday, Christmas and even Thanksgiving!<br /><br />UPDATED: 11/03/10:  Warm them a bit and have with a cup of coffee or tea.  The mincemeat is well balanced with the crust.  They are wonderful!"
4,"This is just the best morning coffe you can imagine.<br /><br />Rich, robust and very strong, just what we like in the morning.<br /><br />We get 100 of these per month on auto shipment, we love it."
0,A little disappointed that I received 6 boxes of these noodles on<br /><br />9.10.2010 & they expire 12.7.2010. I wish I was informed beforehand of<br /><br />the expiration date. =(
4,"These chips are quite tasty and the price is right.  Packaged very well, would buy again."
0,"My dog won't eat these things. I can offer her nothing else to eat all day and she still will literally turn her back and walk away from these things. I tried gifting them to another small dog owner, only to find they are warned against as a choking hazard. Turns out they are so gummy that they sometimes get stuck in a dog's throat and choke the poor thing to death. Maybe my dog knew something I didn't... or maybe they just don't taste or smell that good to some dogs. Buyer beware. (Message me if you want an almost full 96 count box for just the cost of shipping, since if you are going to buy them, I hate to throw away something someone else can use.)"
4,"This is my favorite coffee and the price is the cheapest I have seen anywhere. My husband and I drink a lot of coffee and we are very satisfied with the price and we are very pleased with Amazon, we order a lot from here. Very good service."
4,I enjoy all three of the Grove Square Cappuccino flavors as does my family. I have slowly stopped buying the regular coffee and have swapped over to this brand as I seem to have become addicted to the caramel as I can't get enough of its sweet flavor. At $7.98 a box at Walmart I can buy this and NOT have to buy those flavored creamers. I shake the cup prior to use and set the machine for 8 oz....YUM!
1,"They're OK.  They're very salty.  By far not as good as other flavors.  I recommend, like the other negative poster, Wasabi very strongly.  If you don't mind the salt content, Jalepeno Smokehouse is also a good bet.  This is not an improvement on Maui Garlic and Onion at all."
4,"One of the pleasures of a Keurig is that you can serve a friend or a guest a cup of coffee that will please them and their tastes, not just what you brew for yourself everyday.  I happen to enjoy strong, deeply roasted blends (the kind that you usually find at the specialty coffee shops which seem to be all over the place now).  However, not everyone shares my enjoyment of a strong, full-bodied cup of coffee.<br /><br />I have many friends who often say something like ""I love coffee but Starbucks is just too strong for me"".  Enter Donut Blend.  I have purchased many boxes of Coffee People's Donut Shop Coffee and it is a favorite for many of my friends and family.  When Timothy's announced that they were coming out with the ""Original Donut Blend"" I got in line to try it.  Here is my take on it:<br /><br />It is certainly a little lighter than Coffee People's version but the taste is more complex with clean, bright notes of spice and low acidity.  Surprisingly, it reminds me a little of the Peaberry Kona coffee that I brought back from Hawaii.  It is a perfect blend for those who like their coffee black or with just a little cream and still want it to taste like coffee.  If someone drinks several cups a day I think that Timothy's Donut Blend will not overwhelm their taste buds and will still taste fresh cup after cup.  Mind you, I drink Newman's Own Bold Blend on a regular basis and will continue to do so, but if I am having more than two cups (for those ""special"" mornings when nothing seems to go right) or if I am having a cup later in the day I will drink this one.<br /><br />Just rating it on what I want in a coffee I give it four stars, but judging it for what it is (and not just what I like), it fully delivers and deserves five stars.<br /><br /><a href=""http://www.amazon.com/gp/product/B0029XDZIK"">Coffee People Medium Extra Bold, Donut Shop K-Cups for Keurig Brewers (Pack of 50) [Amazon Frustration-Free Packaging</a>]"
1,"My cat is not a huge fan. Sure, she'll lap up the gravy, but leaves the little meat-like bits as dry as a bone. It feels like saving money, but not if your cat is only gonna eat cornstarch gravy and turn her nose up at the meat by-products. It's probably fine for a grocery-store food, but a better quality food will make your cat happier and maybe healthier. Also I can't imagine gravy has got the nutritional content my cat needs.<br /><br />Pouches seem like a great idea compared to messy, annoying cans, until you can't figure out a way to get the stuff out of the package without getting gravy all over your hands.<br /><br />I switched to Merrick cat foods and my cat is happier--she doesn't leave lots of uneaten bits."
4,perfect thing to take as a snack for work or to give out during halloween. something different from candy and other standard treats.
3,"I purchased the B40 model and after using it for about 3 days, I must say I am loving this machine. I was a bit weary with the two cup settings and the strength of the coffee, but honestly, there's been no real issue. Some k-cups will brew lighter than others and should not be used with the 10 oz setting. However, I have found that the extra bold flavors work well with the 10 oz setting, which is nice because I like my coffee strong."
4,Good product.  My 5 yr old cocker spaniel LOVES 'em.<br />Great pricing and prompt delivery.  Very satisfied.<br />Will order again when they're used up.
4,"I generally try to stay away from caffeine but like to sip on something warm periodically thru the day, I find it soothing.  My usual is the Tazo Camomile with a few drops of rose water.  When I saw this product on Amazon in my search, I immediately signed up to try it and just got it.  I LOOOOVE it.  It has a wonderful flavor that has a natural sweetness to it, enhanced by the rose flavor.  Try it try it try it!"
